idx	VP	resource	condition	blockNo	trial	task	stimulus	value	key	response	stim_pres_ms	response_ms
110965	44	mix	VkRg	3	1	A	rimages/3a_z.png	true	true	true	15	1130
110966	44	mix	VkRg	3	2	A	rimages/6c_z.png	true	true	true	1133	1871
110967	44	mix	VkRg	3	3	A	rimages/3c_z.png	false	false	true	1875	2519
110968	44	mix	VkRg	3	4	A	rimages/4c_z_2.png	false	false	true	2523	3191
110969	44	mix	VkRg	3	5	A	rimages/3d_z.png	false	false	true	3195	3855
110970	44	mix	VkRg	3	6	A	rimages/3c_z.png	false	false	true	3859	4511
110971	44	mix	VkRg	3	7	A	rimages/3a_z.png	true	true	true	4522	5159
110972	44	mix	VkRg	3	8	A	rimages/6c_z.png	true	true	true	5163	5887
110973	44	mix	VkRg	3	9	A	rimages/6e_z.png	false	false	true	5891	6480
110974	44	mix	VkRg	3	10	A	rimages/6d_z.png	true	true	true	6483	7055
110975	44	mix	VkRg	3	11	B	5  6	false	false	true	16	8071
110976	44	mix	VkRg	3	12	B	2  9	false	false	true	8074	9271
110977	44	mix	VkRg	3	13	B	4  7	false	false	true	9275	10888
110978	44	mix	VkRg	3	14	B	7  9	true	true	true	10891	12055
110979	44	mix	VkRg	3	15	B	2  9	false	false	true	12063	16631
110980	44	mix	VkRg	3	16	B	6  8	true	true	true	16634	17279
110981	44	mix	VkRg	3	17	B	3  5	true	true	true	17282	18377
110982	44	mix	VkRg	3	18	B	5  6	false	false	true	18381	19287
110983	44	mix	VkRg	3	19	B	2  4	true	true	true	19290	20047
110984	44	mix	VkRg	3	20	B	2  9	false	false	true	20055	20951
110985	44	mix	VkRg	3	21	B	7  9	true	true	true	20954	22159
110986	44	mix	VkRg	3	22	A	rimages/3a_z.png	true	true	true	7059	23423
110987	44	mix	VkRg	3	23	A	rimages/3b_z.png	false	false	true	23427	24183
110988	44	mix	VkRg	3	24	A	rimages/6d_z.png	true	true	true	24186	24713
110989	44	mix	VkRg	3	25	A	rimages/6c_z.png	true	true	true	24716	25351
110990	44	mix	VkRg	3	26	A	rimages/6d_z.png	true	true	true	25354	26031
110991	44	mix	VkRg	3	27	A	rimages/4b_z.png	false	false	true	26034	26767
110992	44	mix	VkRg	3	28	A	rimages/4a_z.png	false	false	true	26770	27439
110993	44	mix	VkRg	3	29	A	rimages/6c_z.png	true	true	true	27443	28471
110994	44	mix	VkRg	3	30	A	rimages/5e_z.png	false	false	true	28479	29239
110995	44	mix	VkRg	3	31	A	rimages/4c_z_2.png	false	false	true	29242	29808
110996	44	mix	VkRg	3	32	A	rimages/6e_z.png	false	false	true	29811	30471
110997	44	mix	VkRg	3	33	A	rimages/6d_z.png	true	true	true	30479	31095
110998	44	mix	VkRg	3	34	A	rimages/3e_z.png	false	false	true	31098	32271
110999	44	mix	VkRg	3	35	A	rimages/5e_z.png	false	false	true	32279	33007
111000	44	mix	VkRg	3	36	A	rimages/5a_z.png	false	false	true	33010	33935
111001	44	mix	VkRg	3	37	A	rimages/4e_z.png	false	false	true	33939	34705
111002	44	mix	VkRg	3	38	A	rimages/6c_z.png	true	true	true	34708	35575
111003	44	mix	VkRg	3	39	A	rimages/3a_z.png	true	true	true	35578	36335
