idx	VP	resource	condition	blockNo	trial	task	stimulus	value	key	response	stim_pres_ms	response_ms
111432	44	mix	VgRk	4	1	A	P  J	false	false	true	6	882
111433	44	mix	VgRk	4	2	A	P  M	true	true	true	891	1466
111434	44	mix	VgRk	4	3	A	G  X	true	true	true	1471	2082
111435	44	mix	VgRk	4	4	A	P  M	true	true	true	2087	2834
111436	44	mix	VgRk	4	5	A	G  S	false	false	true	2838	4850
111437	44	mix	VgRk	4	6	A	F  G	false	false	true	4854	5674
111438	44	mix	VgRk	4	7	A	N  G	false	false	true	5678	6490
111439	44	mix	VgRk	4	8	A	M  P	true	true	true	6494	7122
111440	44	mix	VgRk	4	9	A	G  X	true	true	true	7125	7708
111441	44	mix	VgRk	4	10	A	X  S	false	false	true	7711	8442
111442	44	mix	VgRk	4	11	A	X  G	true	true	true	8450	9170
111443	44	mix	VgRk	4	12	A	R  P	false	false	true	9173	9674
111444	44	mix	VgRk	4	13	A	M  P	true	true	true	9677	10386
111445	44	mix	VgRk	4	14	A	X  G	true	true	true	10394	11346
111446	44	mix	VgRk	4	15	B	images/13_50_k.jpg	false	false	true	7	12290
111447	44	mix	VgRk	4	16	B	images/25_50_R_k.jpg	true	true	true	12293	12898
111448	44	mix	VgRk	4	17	B	images/1_50_R_k.jpg	true	true	true	12902	13794
111449	44	mix	VgRk	4	18	B	images/39_50_R_k.jpg	true	true	true	13798	14394
111450	44	mix	VgRk	4	19	B	images/1_50_R_k.jpg	true	true	true	14398	15114
111451	44	mix	VgRk	4	20	B	images/39_50_k.jpg	false	false	true	15118	16970
111452	44	mix	VgRk	4	21	B	images/1_50_k.jpg	false	false	true	16973	17570
111453	44	mix	VgRk	4	22	B	images/25_50_R_k.jpg	true	true	true	17577	18146
111454	44	mix	VgRk	4	23	B	images/25_50_k.jpg	false	false	true	18155	18754
111455	44	mix	VgRk	4	24	B	images/39_50_k.jpg	false	false	true	18757	19370
111456	44	mix	VgRk	4	25	B	images/25_50_k.jpg	false	false	true	19377	19882
111457	44	mix	VgRk	4	26	B	images/13_50_R_k.jpg	true	true	true	19885	20364
111458	44	mix	VgRk	4	27	B	images/1_50_k.jpg	false	false	true	20367	20970
111459	44	mix	VgRk	4	28	B	images/39_50_R_k.jpg	true	true	true	20973	21410
111460	44	mix	VgRk	4	29	B	images/25_50_R_k.jpg	true	true	true	21414	22146
111461	44	mix	VgRk	4	30	A	P  B	false	false	true	11350	23418
111462	44	mix	VgRk	4	31	A	M  D	false	false	true	23421	24108
111463	44	mix	VgRk	4	32	A	M  P	true	true	true	24111	25858
111464	44	mix	VgRk	4	33	A	G  C	false	false	true	25862	26466
111465	44	mix	VgRk	4	34	A	G  Y	false	false	true	26469	27426
111466	44	mix	VgRk	4	35	A	X  G	true	true	true	27429	27930
111467	44	mix	VgRk	4	36	B	images/13_50_k.jpg	false	false	true	22149	28866
111468	44	mix	VgRk	4	37	B	images/13_50_R_k.jpg	true	true	true	28869	29418
111469	44	mix	VgRk	4	38	B	images/1_50_R_k.jpg	true	false	false	29421	31346
111470	44	mix	VgRk	4	39	B	images/25_50_R_k.jpg	true	true	true	31349	32666
111471	44	mix	VgRk	4	40	B	images/13_50_R_k.jpg	true	true	true	32669	33202
111472	44	mix	VgRk	4	41	B	images/1_50_k.jpg	false	false	true	33205	33890
111473	44	mix	VgRk	4	42	B	images/13_50_k.jpg	false	false	true	33893	34980
111474	44	mix	VgRk	4	43	B	images/1_50_k.jpg	false	false	true	34983	35602
111475	44	mix	VgRk	4	44	B	images/39_50_k.jpg	false	false	true	35605	36346
111476	44	mix	VgRk	4	45	B	images/1_50_k.jpg	false	false	true	36353	36898
111477	44	mix	VgRk	4	46	B	images/1_50_R_k.jpg	true	true	true	36901	37602
111478	44	mix	VgRk	4	47	A	C  M	false	false	true	27933	38466
111479	44	mix	VgRk	4	48	A	G  R	false	false	true	38469	39154
111480	44	mix	VgRk	4	49	A	T  M	false	false	true	39161	39914
111481	44	mix	VgRk	4	50	A	K  P	false	false	true	39917	40482
111482	44	mix	VgRk	4	51	A	P  M	true	true	true	40485	41202
111483	44	mix	VgRk	4	52	A	G  X	true	true	true	41205	41866
111484	44	mix	VgRk	4	53	A	X  G	true	true	true	41869	42740
111485	44	mix	VgRk	4	54	A	G  X	true	true	true	42743	43426
111486	44	mix	VgRk	4	55	A	X  G	true	true	true	43429	44026
111487	44	mix	VgRk	4	56	A	B  P	false	false	true	44029	44666
