idx	VP	resource	condition	blockNo	trial	task	stimulus	value	key	response	stim_pres_ms	response_ms
47482	24	mix	VgRk	2	1	A	T  W	false	false	true	9	813
47483	24	mix	VgRk	2	2	A	H  N	true	true	true	814	1381
47484	24	mix	VgRk	2	3	A	T  L	true	true	true	1382	1957
47485	24	mix	VgRk	2	4	A	H  G	false	false	true	1958	2773
47486	24	mix	VgRk	2	5	A	L  K	false	false	true	2774	3480
47487	24	mix	VgRk	2	6	A	L  T	true	true	true	3481	4029
47488	24	mix	VgRk	2	7	A	C  N	false	false	true	4030	5549
47489	24	mix	VgRk	2	8	A	T  L	true	true	true	5550	6121
47490	24	mix	VgRk	2	9	A	H  Q	false	false	true	6122	6677
47491	24	mix	VgRk	2	10	A	L  K	false	false	true	6678	7309
47492	24	mix	VgRk	2	11	A	H  N	true	true	true	7310	7949
47493	24	mix	VgRk	2	12	A	T  L	true	true	true	7950	8669
47494	24	mix	VgRk	2	13	A	T  J	false	false	true	8670	9213
47495	24	mix	VgRk	2	14	A	Y  H	false	false	true	9214	9661
47496	24	mix	VgRk	2	15	A	L  T	true	true	true	9662	10109
47497	24	mix	VgRk	2	16	A	X  T	false	false	true	10110	10557
47498	24	mix	VgRk	2	17	A	N  H	true	true	true	10558	11085
47499	24	mix	VgRk	2	18	A	M  N	false	false	true	11086	11591
47500	24	mix	VgRk	2	19	A	L  T	true	true	true	11591	12109
47501	24	mix	VgRk	2	20	A	P  H	false	false	true	12110	12685
47502	24	mix	VgRk	2	21	A	L  V	false	false	true	12686	13153
47503	24	mix	VgRk	2	22	A	N  H	true	true	true	13153	13589
47504	24	mix	VgRk	2	23	A	H  F	false	false	true	13589	14053
47505	24	mix	VgRk	2	24	A	K  L	false	false	true	14054	14462
47506	24	mix	VgRk	2	25	A	H  N	true	true	true	14463	15061
47507	24	mix	VgRk	2	26	A	T  L	true	true	true	15061	15552
47508	24	mix	VgRk	2	27	A	L  T	true	true	true	15555	16005
47509	24	mix	VgRk	2	28	A	H  N	true	true	true	16007	16637
47510	24	mix	VgRk	2	29	A	R  T	false	false	true	16637	17197
47511	24	mix	VgRk	2	30	A	L  T	true	true	true	17197	17981
47512	24	mix	VgRk	2	31	A	H  X	false	false	true	17981	18431
47513	24	mix	VgRk	2	32	A	H  Q	false	false	true	18431	18941
47514	24	mix	VgRk	2	33	A	N  H	true	true	true	18941	19397
47515	24	mix	VgRk	2	34	A	H  N	true	true	true	19397	19872
47516	24	mix	VgRk	2	35	A	H  C	false	false	true	19872	20413
47517	24	mix	VgRk	2	36	A	T  G	false	false	true	20414	20981
47518	24	mix	VgRk	2	37	A	S  N	false	false	true	20981	21413
47519	24	mix	VgRk	2	38	A	L  T	true	true	true	21413	21877
47520	24	mix	VgRk	2	39	A	H  N	true	true	true	21878	22461
47521	24	mix	VgRk	2	40	A	B  T	false	false	true	22462	22973
47522	24	mix	VgRk	2	41	A	T  L	true	false	false	22973	23421
47523	24	mix	VgRk	2	42	A	T  K	false	false	true	23421	25008
47524	24	mix	VgRk	2	43	A	H  N	true	true	true	25009	25566
47525	24	mix	VgRk	2	44	A	Q  N	false	false	true	25567	26077
47526	24	mix	VgRk	2	45	A	C  L	false	false	true	26078	26557
47527	24	mix	VgRk	2	46	A	F  H	false	false	true	26557	27005
47528	24	mix	VgRk	2	47	A	H  V	false	false	true	27005	27445
47529	24	mix	VgRk	2	48	A	K  N	false	false	true	27445	27957
47530	24	mix	VgRk	2	49	A	T  L	true	true	true	27957	28480
47531	24	mix	VgRk	2	50	A	Y  N	false	false	true	28481	28959
47532	24	mix	VgRk	2	51	A	B  H	false	false	true	28960	29405
47533	24	mix	VgRk	2	52	A	H  N	true	true	true	29405	29933
47534	24	mix	VgRk	2	53	A	L  T	true	true	true	29933	30477
47535	24	mix	VgRk	2	54	B	images/13_50_R_k.jpg	true	true	true	9	32029
47536	24	mix	VgRk	2	55	B	images/1_50_R_k.jpg	true	true	true	32029	32540
47537	24	mix	VgRk	2	56	B	images/1_50_k.jpg	false	false	true	32541	33052
47538	24	mix	VgRk	2	57	B	images/39_50_k.jpg	false	false	true	33053	33508
47539	24	mix	VgRk	2	58	B	images/13_50_k.jpg	false	false	true	33509	33956
47540	24	mix	VgRk	2	59	B	images/13_50_R_k.jpg	true	true	true	33957	34364
47541	24	mix	VgRk	2	60	B	images/39_50_k.jpg	false	false	true	34365	34836
47542	24	mix	VgRk	2	61	B	images/1_50_R_k.jpg	true	true	true	34837	35396
47543	24	mix	VgRk	2	62	B	images/25_50_R_k.jpg	true	true	true	35397	35904
47544	24	mix	VgRk	2	63	B	images/25_50_k.jpg	false	false	true	35904	36364
47545	24	mix	VgRk	2	64	B	images/1_50_R_k.jpg	true	true	true	36365	36940
47546	24	mix	VgRk	2	65	B	images/13_50_k.jpg	false	false	true	36941	37492
47547	24	mix	VgRk	2	66	B	images/13_50_R_k.jpg	true	true	true	37493	37957
47548	24	mix	VgRk	2	67	B	images/39_50_k.jpg	false	false	true	37957	38436
47549	24	mix	VgRk	2	68	B	images/1_50_k.jpg	false	false	true	38437	38900
47550	24	mix	VgRk	2	69	B	images/1_50_R_k.jpg	true	true	true	38901	39396
47551	24	mix	VgRk	2	70	B	images/39_50_R_k.jpg	true	true	true	39397	39997
47552	24	mix	VgRk	2	71	B	images/13_50_k.jpg	false	false	true	40002	40444
47553	24	mix	VgRk	2	72	B	images/1_50_k.jpg	false	false	true	40445	40892
47554	24	mix	VgRk	2	73	B	images/1_50_R_k.jpg	true	true	true	40893	41356
47555	24	mix	VgRk	2	74	B	images/39_50_k.jpg	false	false	true	41357	41853
47556	24	mix	VgRk	2	75	B	images/1_50_k.jpg	false	false	true	41854	42469
47557	24	mix	VgRk	2	76	B	images/39_50_R_k.jpg	true	true	true	42470	42884
47558	24	mix	VgRk	2	77	B	images/25_50_k.jpg	false	false	true	42885	43292
47559	24	mix	VgRk	2	78	B	images/13_50_k.jpg	false	false	true	43293	43956
47560	24	mix	VgRk	2	79	B	images/25_50_R_k.jpg	true	true	true	43957	44440
47561	24	mix	VgRk	2	80	B	images/13_50_R_k.jpg	true	false	false	44440	44836
47562	24	mix	VgRk	2	81	B	images/25_50_R_k.jpg	true	true	true	44837	46023
47563	24	mix	VgRk	2	82	B	images/39_50_R_k.jpg	true	true	true	46023	46582
