idx	VP	resource	condition	blockNo	trial	task	stimulus	value	key	response	stim_pres_ms	response_ms
115872	46	mix	VgRk	3	1	A	R  N	true	true	true	16	3921
115873	46	mix	VgRk	3	2	A	N  R	true	true	true	3921	4607
115874	46	mix	VgRk	3	3	A	P  S	true	true	true	4608	5343
115875	46	mix	VgRk	3	4	A	C  R	false	false	true	5344	5943
115876	46	mix	VgRk	3	5	B	images/1_50_k.jpg	false	false	true	16	6479
115877	46	mix	VgRk	3	6	B	images/39_50_k.jpg	false	false	true	6480	7047
115878	46	mix	VgRk	3	7	B	images/25_50_k.jpg	false	false	true	7048	7551
115879	46	mix	VgRk	3	8	B	images/13_50_R_k.jpg	true	true	true	7553	8025
115880	46	mix	VgRk	3	9	A	R  N	true	false	false	5944	9551
115881	46	mix	VgRk	3	10	A	N  R	true	true	true	9552	12313
115882	46	mix	VgRk	3	11	A	S  P	true	true	true	12314	12975
115883	46	mix	VgRk	3	12	A	P  H	false	false	true	12976	13607
115884	46	mix	VgRk	3	13	A	H  P	false	false	true	13608	14479
115885	46	mix	VgRk	3	14	B	images/1_50_k.jpg	false	false	true	8026	16295
115886	46	mix	VgRk	3	15	B	images/1_50_R_k.jpg	true	false	false	16296	16816
115887	46	mix	VgRk	3	16	B	images/39_50_k.jpg	false	false	true	16817	17887
115888	46	mix	VgRk	3	17	B	images/13_50_k.jpg	false	false	true	17888	18832
115889	46	mix	VgRk	3	18	B	images/25_50_R_k.jpg	true	true	true	18833	19336
115890	46	mix	VgRk	3	19	A	R  N	true	true	true	14480	21159
115891	46	mix	VgRk	3	20	A	S  P	true	true	true	21160	21743
115892	46	mix	VgRk	3	21	A	P  D	false	false	true	21743	22289
115893	46	mix	VgRk	3	22	A	N  R	true	true	true	22289	23423
115894	46	mix	VgRk	3	23	B	images/1_50_k.jpg	false	false	true	19337	25471
115895	46	mix	VgRk	3	24	B	images/13_50_k.jpg	false	false	true	25472	26159
115896	46	mix	VgRk	3	25	B	images/39_50_R_k.jpg	true	true	true	26160	26799
115897	46	mix	VgRk	3	26	B	images/39_50_k.jpg	false	false	true	26799	27359
115898	46	mix	VgRk	3	27	A	P  S	true	true	true	23424	27943
115899	46	mix	VgRk	3	28	A	S  T	false	false	true	27943	28599
115900	46	mix	VgRk	3	29	A	S  P	true	true	true	28599	29223
115901	46	mix	VgRk	3	30	A	R  N	true	true	true	29224	30023
115902	46	mix	VgRk	3	31	B	images/25_50_R_k.jpg	true	true	true	27359	31383
115903	46	mix	VgRk	3	32	B	images/13_50_k.jpg	false	false	true	31383	31983
115904	46	mix	VgRk	3	33	B	images/39_50_k.jpg	false	false	true	31983	32527
115905	46	mix	VgRk	3	34	B	images/25_50_k.jpg	false	false	true	32527	33072
115906	46	mix	VgRk	3	35	B	images/13_50_k.jpg	false	false	true	33072	34079
115907	46	mix	VgRk	3	36	A	N  R	true	true	true	30023	34951
115908	46	mix	VgRk	3	37	A	P  S	true	true	true	34951	35623
115909	46	mix	VgRk	3	38	A	N  R	true	true	true	35623	36111
115910	46	mix	VgRk	3	39	A	S  G	false	false	true	36114	36743
115911	46	mix	VgRk	3	40	A	P  S	true	true	true	36744	37383
115912	46	mix	VgRk	3	41	B	images/1_50_R_k.jpg	true	true	true	34080	39103
115913	46	mix	VgRk	3	42	B	images/1_50_k.jpg	false	false	true	39103	40255
115914	46	mix	VgRk	3	43	B	images/13_50_R_k.jpg	true	true	true	40255	40895
115915	46	mix	VgRk	3	44	B	images/39_50_R_k.jpg	true	true	true	40895	41359
115916	46	mix	VgRk	3	45	B	images/13_50_R_k.jpg	true	true	true	41359	41887
115917	46	mix	VgRk	3	46	A	T  P	false	false	true	37383	43086
115918	46	mix	VgRk	3	47	A	W  N	false	false	true	43087	43590
115919	46	mix	VgRk	3	48	A	S  L	false	false	true	43591	44238
115920	46	mix	VgRk	3	49	A	P  C	false	false	true	44239	45182
