idx	VP	resource	condition	blockNo	trial	task	stimulus	value	key	response	stim_pres_ms	response_ms
80611	34	mix	VgRk	3	1	A	B  W	true	true	true	3	1142
80612	34	mix	VgRk	3	2	B	images/25_50_k.jpg	false	false	true	3	1574
80613	34	mix	VgRk	3	3	A	B  L	false	false	true	1143	2030
80614	34	mix	VgRk	3	4	B	images/1_50_R_k.jpg	true	true	true	1575	2510
80615	34	mix	VgRk	3	5	A	W  B	true	true	true	2030	3470
80616	34	mix	VgRk	3	6	B	images/13_50_k.jpg	false	false	true	2510	3966
80617	34	mix	VgRk	3	7	A	C  K	true	true	true	3470	4398
80618	34	mix	VgRk	3	8	B	images/25_50_R_k.jpg	true	true	true	3966	4918
80619	34	mix	VgRk	3	9	A	W  B	true	true	true	4398	5470
80620	34	mix	VgRk	3	10	B	images/1_50_R_k.jpg	true	true	true	4918	5998
80621	34	mix	VgRk	3	11	A	H  C	false	false	true	5471	6838
80622	34	mix	VgRk	3	12	A	K  C	true	true	true	6839	7566
80623	34	mix	VgRk	3	13	B	images/1_50_k.jpg	false	false	true	5998	7998
80624	34	mix	VgRk	3	14	A	D  K	false	false	true	7566	9040
80625	34	mix	VgRk	3	15	B	images/13_50_k.jpg	false	false	true	7998	10310
80626	34	mix	VgRk	3	16	A	W  B	true	true	true	9040	10734
80627	34	mix	VgRk	3	17	B	images/13_50_R_k.jpg	true	true	true	10310	11270
80628	34	mix	VgRk	3	18	A	K  C	true	true	true	10734	11718
80629	34	mix	VgRk	3	19	B	images/39_50_R_k.jpg	true	true	true	11273	12158
80630	34	mix	VgRk	3	20	A	W  J	false	false	true	11718	12598
80631	34	mix	VgRk	3	21	B	images/1_50_R_k.jpg	true	true	true	12158	13102
80632	34	mix	VgRk	3	22	A	W  B	true	true	true	12598	13550
80633	34	mix	VgRk	3	23	B	images/39_50_k.jpg	false	false	true	13103	13934
80634	34	mix	VgRk	3	24	B	images/39_50_R_k.jpg	true	true	true	13934	14438
80635	34	mix	VgRk	3	25	A	L  B	false	false	true	13550	14855
80636	34	mix	VgRk	3	26	B	images/13_50_R_k.jpg	true	true	true	14438	15334
80637	34	mix	VgRk	3	27	A	C  K	true	true	true	14855	16086
80638	34	mix	VgRk	3	28	B	images/1_50_R_k.jpg	true	true	true	15334	16662
80639	34	mix	VgRk	3	29	A	B  W	true	true	true	16086	17173
80640	34	mix	VgRk	3	30	B	images/13_50_k.jpg	false	false	true	16662	17597
80641	34	mix	VgRk	3	31	B	images/39_50_R_k.jpg	true	true	true	17598	18125
80642	34	mix	VgRk	3	32	A	W  Y	false	false	true	17174	18557
80643	34	mix	VgRk	3	33	A	H  W	false	false	true	18558	19509
80644	34	mix	VgRk	3	34	B	images/1_50_k.jpg	false	false	true	18126	20013
80645	34	mix	VgRk	3	35	B	images/25_50_R_k.jpg	true	true	true	20014	20544
80646	34	mix	VgRk	3	36	A	Y  K	false	false	true	19510	20958
