idx	VP	resource	condition	blockNo	trial	task	stimulus	value	key	response	stim_pres_ms	response_ms
67793	3	mix	VgRk	4	1	A	H  X	false	false	true	98	936
67794	3	mix	VgRk	4	2	B	images/13_50_R_k.jpg	true	true	true	98	1672
67795	3	mix	VgRk	4	3	A	X  H	false	false	true	1036	2632
67796	3	mix	VgRk	4	4	B	images/25_50_R_k.jpg	true	true	true	1772	3664
67797	3	mix	VgRk	4	5	A	H  X	false	false	true	2733	4001
67798	3	mix	VgRk	4	6	B	images/1_50_R_k.jpg	true	true	true	3764	4576
67799	3	mix	VgRk	4	7	A	H  R	false	false	true	4100	5035
67800	3	mix	VgRk	4	8	B	images/25_50_R_k.jpg	true	true	true	4676	5672
67801	3	mix	VgRk	4	9	A	W  H	true	false	false	5228	6360
67802	3	mix	VgRk	4	10	A	S  W	false	false	true	6434	8545
67803	3	mix	VgRk	4	11	A	J  D	true	true	true	8573	9392
67804	3	mix	VgRk	4	12	B	images/13_50_R_k.jpg	true	true	true	5772	9960
67805	3	mix	VgRk	4	13	A	W  H	true	true	true	9496	10448
67806	3	mix	VgRk	4	14	A	D  P	false	false	true	10548	12106
67807	3	mix	VgRk	4	15	B	images/13_50_k.jpg	false	false	true	10060	12472
67808	3	mix	VgRk	4	16	A	X  J	false	false	true	12206	12888
67809	3	mix	VgRk	4	17	A	H  L	false	false	true	12989	13656
67810	3	mix	VgRk	4	18	B	images/39_50_k.jpg	false	false	true	12573	13952
67811	3	mix	VgRk	4	19	A	M  H	false	false	true	13756	15000
67812	3	mix	VgRk	4	20	B	images/25_50_k.jpg	false	false	true	14052	15216
67813	3	mix	VgRk	4	21	B	images/1_50_R_k.jpg	true	true	true	15316	16144
67814	3	mix	VgRk	4	22	A	J  K	false	false	true	15100	16600
67815	3	mix	VgRk	4	23	A	H  W	true	true	true	16700	17328
67816	3	mix	VgRk	4	24	A	W  H	true	true	true	17433	17992
67817	3	mix	VgRk	4	25	B	images/13_50_k.jpg	false	false	true	16244	19072
67818	3	mix	VgRk	4	26	A	R  D	false	false	true	18092	19746
67819	3	mix	VgRk	4	27	A	X  H	false	false	true	19847	21288
67820	3	mix	VgRk	4	28	B	images/39_50_k.jpg	false	false	true	19172	21696
67821	3	mix	VgRk	4	29	A	H  B	false	false	true	21388	22192
67822	3	mix	VgRk	4	30	B	images/1_50_k.jpg	false	false	true	21796	22634
67823	3	mix	VgRk	4	31	A	J  D	true	true	true	22292	23288
67824	3	mix	VgRk	4	32	B	images/25_50_k.jpg	false	false	true	22734	23784
67825	3	mix	VgRk	4	33	B	images/1_50_k.jpg	false	false	true	23887	24464
67826	3	mix	VgRk	4	34	B	images/25_50_R_k.jpg	true	true	true	24564	25185
67827	3	mix	VgRk	4	35	A	S  J	false	false	true	23388	25544
67828	3	mix	VgRk	4	36	B	images/39_50_R_k.jpg	true	true	true	25285	25970
67829	3	mix	VgRk	4	37	A	D  J	true	true	true	25644	27024
67830	3	mix	VgRk	4	38	A	J  D	true	true	true	27124	27752
67831	3	mix	VgRk	4	39	B	images/25_50_R_k.jpg	true	true	true	26070	28136
67832	3	mix	VgRk	4	40	A	H  W	true	true	true	27849	28632
67833	3	mix	VgRk	4	41	B	images/25_50_k.jpg	false	false	true	28236	29088
67834	3	mix	VgRk	4	42	A	F  W	false	false	true	28734	29520
67835	3	mix	VgRk	4	43	A	D  J	true	true	true	29620	30760
67836	3	mix	VgRk	4	44	B	images/13_50_k.jpg	false	false	true	29188	31088
67837	3	mix	VgRk	4	45	A	J  D	true	true	true	30860	31584
67838	3	mix	VgRk	4	46	B	images/13_50_R_k.jpg	true	true	true	31188	31944
67839	3	mix	VgRk	4	47	A	D  J	true	true	true	31683	32344
67840	3	mix	VgRk	4	48	B	images/1_50_k.jpg	false	false	true	32044	32696
67841	3	mix	VgRk	4	49	A	J  D	true	true	true	32448	33128
67842	3	mix	VgRk	4	50	B	images/25_50_R_k.jpg	true	true	true	32800	33648
67843	3	mix	VgRk	4	51	A	V  J	false	false	true	33228	34048
67844	3	mix	VgRk	4	52	B	images/39_50_k.jpg	false	false	true	33748	34585
67845	3	mix	VgRk	4	53	A	H  W	true	true	true	34148	34896
67846	3	mix	VgRk	4	54	B	images/13_50_R_k.jpg	true	true	true	34682	35456
67847	3	mix	VgRk	4	55	A	R  D	false	false	true	34996	36529
67848	3	mix	VgRk	4	56	B	images/25_50_R_k.jpg	true	true	true	35556	36840
67849	3	mix	VgRk	4	57	A	V  D	false	false	true	36723	37904
67850	3	mix	VgRk	4	58	B	images/13_50_k.jpg	false	false	true	36940	38176
67851	3	mix	VgRk	4	59	A	D  J	true	true	true	38004	38976
67852	3	mix	VgRk	4	60	B	images/39_50_R_k.jpg	true	true	true	38276	39296
67853	3	mix	VgRk	4	61	A	H  P	false	false	true	39079	39768
67854	3	mix	VgRk	4	62	B	images/1_50_R_k.jpg	true	true	true	39396	40320
67855	3	mix	VgRk	4	63	A	H  W	true	true	true	39868	40728
67856	3	mix	VgRk	4	64	B	images/25_50_k.jpg	false	false	true	40420	41184
67857	3	mix	VgRk	4	65	A	J  D	true	true	true	40922	41632
67858	3	mix	VgRk	4	66	B	images/1_50_k.jpg	false	false	true	41284	42616
67859	3	mix	VgRk	4	67	B	images/13_50_R_k.jpg	true	true	true	42715	43368
67860	3	mix	VgRk	4	68	A	F  H	false	false	true	41732	43848
67861	3	mix	VgRk	4	69	A	D  J	true	true	true	43883	45064
67862	3	mix	VgRk	4	70	B	images/39_50_R_k.jpg	true	true	true	43434	45328
67863	3	mix	VgRk	4	71	A	X  J	false	false	true	45164	45848
67864	3	mix	VgRk	4	72	A	W  B	false	false	true	45947	46944
67865	3	mix	VgRk	4	73	A	W  H	true	true	true	47043	48072
