idx	VP	resource	condition	blockNo	trial	task	stimulus	value	key	response	stim_pres_ms	response_ms
66616	3	mix	VgRk	3	1	A	T  B	false	false	true	112	1810
66617	3	mix	VgRk	3	2	B	images/1_50_R_k.jpg	true	true	true	112	3090
66618	3	mix	VgRk	3	3	A	N  R	true	true	true	1909	4233
66619	3	mix	VgRk	3	4	B	images/25_50_R_k.jpg	true	true	true	3190	5009
66620	3	mix	VgRk	3	5	A	R  N	true	true	true	4333	5649
66621	3	mix	VgRk	3	6	B	images/25_50_k.jpg	false	false	true	5109	6106
66622	3	mix	VgRk	3	7	A	N  R	true	true	true	5749	6793
66623	3	mix	VgRk	3	8	B	images/1_50_R_k.jpg	true	true	true	6206	7273
66624	3	mix	VgRk	3	9	A	N  V	false	false	true	6893	7745
66625	3	mix	VgRk	3	10	B	images/39_50_k.jpg	false	false	true	7373	8201
66626	3	mix	VgRk	3	11	A	C  N	false	false	true	7845	8713
66627	3	mix	VgRk	3	12	B	images/39_50_R_k.jpg	true	true	true	8301	9169
66628	3	mix	VgRk	3	13	A	B  F	true	true	true	8813	9849
66629	3	mix	VgRk	3	14	B	images/1_50_R_k.jpg	true	true	true	9269	10329
66630	3	mix	VgRk	3	15	A	Y  F	false	false	true	9949	10849
66631	3	mix	VgRk	3	16	B	images/13_50_k.jpg	false	false	true	10429	11225
66632	3	mix	VgRk	3	17	A	N  R	true	true	true	11046	12138
66633	3	mix	VgRk	3	18	B	images/39_50_k.jpg	false	false	true	11325	12441
66634	3	mix	VgRk	3	19	A	S  B	false	false	true	12241	13105
66635	3	mix	VgRk	3	20	B	images/25_50_R_k.jpg	true	true	true	12542	13497
66636	3	mix	VgRk	3	21	A	R  N	true	true	true	13206	13977
66637	3	mix	VgRk	3	22	B	images/13_50_R_k.jpg	true	true	true	13598	14625
66638	3	mix	VgRk	3	23	A	D  N	false	false	true	14077	15113
66639	3	mix	VgRk	3	24	B	images/13_50_k.jpg	false	false	true	14728	15465
