idx	VP	resource	condition	blockNo	trial	task	stimulus	value	key	response	stim_pres_ms	response_ms
46787	23	mix	VgRk	4	1	A	Q  V	true	true	true	7	996
46788	23	mix	VgRk	4	2	A	B  J	false	false	true	997	1587
46789	23	mix	VgRk	4	3	A	P  B	true	true	true	1588	2171
46790	23	mix	VgRk	4	4	A	Q  V	true	true	true	2172	2907
46791	23	mix	VgRk	4	5	A	P  B	true	true	true	2908	3859
46792	23	mix	VgRk	4	6	A	D  V	false	false	true	3860	4427
46793	23	mix	VgRk	4	7	A	Q  V	true	true	true	4428	5331
46794	23	mix	VgRk	4	8	A	P  B	true	true	true	5332	6211
46795	23	mix	VgRk	4	9	A	V  Q	true	true	true	6212	7155
46796	23	mix	VgRk	4	10	A	P  B	true	true	true	7156	8043
46797	23	mix	VgRk	4	11	A	B  P	true	true	true	8044	9350
46798	23	mix	VgRk	4	12	A	B  S	false	false	true	9350	9963
46799	23	mix	VgRk	4	13	A	B  X	false	false	true	9964	10451
46800	23	mix	VgRk	4	14	A	V  Q	true	true	true	10452	11075
46801	23	mix	VgRk	4	15	A	P  W	false	false	true	11076	11787
46802	23	mix	VgRk	4	16	A	Q  D	false	false	true	11788	12355
46803	23	mix	VgRk	4	17	A	P  B	true	true	true	12356	12939
46804	23	mix	VgRk	4	18	A	G  Q	false	false	true	12940	13468
46805	23	mix	VgRk	4	19	A	S  B	false	false	true	13469	13883
46806	23	mix	VgRk	4	20	A	J  P	false	false	true	13884	14579
46807	23	mix	VgRk	4	21	A	B  P	true	true	true	14580	15275
46808	23	mix	VgRk	4	22	A	P  B	true	true	true	15276	16243
46809	23	mix	VgRk	4	23	A	V  Q	true	true	true	16244	17019
46810	23	mix	VgRk	4	24	A	V  C	false	false	true	17020	17691
46811	23	mix	VgRk	4	25	A	Q  V	true	true	true	17692	18267
46812	23	mix	VgRk	4	26	A	V  Q	true	true	true	18268	18851
46813	23	mix	VgRk	4	27	A	B  P	true	true	true	18852	19539
46814	23	mix	VgRk	4	28	A	V  M	false	false	true	19540	20475
46815	23	mix	VgRk	4	29	A	H  Q	false	false	true	20476	21235
46816	23	mix	VgRk	4	30	A	P  B	true	true	true	21236	22395
46817	23	mix	VgRk	4	31	A	V  Q	true	false	false	22395	23099
46818	23	mix	VgRk	4	32	A	B  P	true	false	false	23099	23907
46819	23	mix	VgRk	4	33	A	V  Q	true	true	true	23908	24723
46820	23	mix	VgRk	4	34	A	P  B	true	true	true	24724	25291
46821	23	mix	VgRk	4	35	A	Q  X	false	false	true	25292	26261
46822	23	mix	VgRk	4	36	A	Q  C	false	false	true	26262	27043
46823	23	mix	VgRk	4	37	A	X  B	false	true	false	27043	27635
46824	23	mix	VgRk	4	38	A	M  Q	false	false	true	27635	28203
46825	23	mix	VgRk	4	39	A	B  P	true	true	true	28206	28795
46826	23	mix	VgRk	4	40	A	V  Q	true	true	true	28795	29419
46827	23	mix	VgRk	4	41	A	P  B	true	true	true	29420	30236
46828	23	mix	VgRk	4	42	A	V  Q	true	true	true	30237	30915
46829	23	mix	VgRk	4	43	A	B  P	true	true	true	30915	31563
46830	23	mix	VgRk	4	44	A	K  V	false	false	true	31563	32155
46831	23	mix	VgRk	4	45	A	C  Q	false	false	true	32155	32867
46832	23	mix	VgRk	4	46	A	V  Q	true	true	true	32867	33659
46833	23	mix	VgRk	4	47	B	images/1_50_k.jpg	false	false	true	7	35571
46834	23	mix	VgRk	4	48	B	images/13_50_k.jpg	false	false	true	35571	36475
46835	23	mix	VgRk	4	49	B	images/1_50_k.jpg	false	false	true	36476	37035
46836	23	mix	VgRk	4	50	B	images/39_50_R_k.jpg	true	true	true	37035	37602
46837	23	mix	VgRk	4	51	B	images/25_50_k.jpg	false	true	false	37603	43194
46838	23	mix	VgRk	4	52	B	images/13_50_R_k.jpg	true	true	true	43195	44146
46839	23	mix	VgRk	4	53	B	images/39_50_R_k.jpg	true	false	false	44147	44938
46840	23	mix	VgRk	4	54	B	images/25_50_R_k.jpg	true	true	true	44939	45970
46841	23	mix	VgRk	4	55	B	images/39_50_k.jpg	false	false	true	45971	46627
46842	23	mix	VgRk	4	56	B	images/13_50_R_k.jpg	true	true	true	46627	47834
46843	23	mix	VgRk	4	57	B	images/13_50_k.jpg	false	false	true	47835	48442
46844	23	mix	VgRk	4	58	B	images/1_50_R_k.jpg	true	true	true	48443	49482
46845	23	mix	VgRk	4	59	B	images/1_50_k.jpg	false	false	true	49483	50314
46846	23	mix	VgRk	4	60	B	images/39_50_R_k.jpg	true	true	true	50315	50946
46847	23	mix	VgRk	4	61	B	images/25_50_k.jpg	false	true	false	50947	51498
46848	23	mix	VgRk	4	62	B	images/25_50_R_k.jpg	true	true	true	51499	52162
46849	23	mix	VgRk	4	63	B	images/1_50_R_k.jpg	true	true	true	52163	53098
46850	23	mix	VgRk	4	64	B	images/1_50_k.jpg	false	false	true	53099	53994
46851	23	mix	VgRk	4	65	B	images/39_50_R_k.jpg	true	true	true	53995	54594
46852	23	mix	VgRk	4	66	B	images/13_50_R_k.jpg	true	true	true	54595	55250
46853	23	mix	VgRk	4	67	B	images/39_50_k.jpg	false	false	true	55251	56562
46854	23	mix	VgRk	4	68	B	images/1_50_k.jpg	false	false	true	56563	57482
46855	23	mix	VgRk	4	69	B	images/13_50_k.jpg	false	false	true	57483	58098
46856	23	mix	VgRk	4	70	B	images/25_50_k.jpg	false	true	false	58099	58762
46857	23	mix	VgRk	4	71	B	images/39_50_k.jpg	false	false	true	58763	59266
46858	23	mix	VgRk	4	72	B	images/25_50_R_k.jpg	true	true	true	59267	59866
46859	23	mix	VgRk	4	73	B	images/1_50_k.jpg	false	false	true	59867	60634
46860	23	mix	VgRk	4	74	B	images/1_50_R_k.jpg	true	true	true	60635	61578
46861	23	mix	VgRk	4	75	B	images/13_50_R_k.jpg	true	true	true	61579	62714
46862	23	mix	VgRk	4	76	B	images/13_50_k.jpg	false	false	true	62715	63290
46863	23	mix	VgRk	4	77	B	images/1_50_R_k.jpg	true	true	true	63291	64043
46864	23	mix	VgRk	4	78	B	images/25_50_R_k.jpg	true	true	true	64044	64602
46865	23	mix	VgRk	4	79	B	images/1_50_k.jpg	false	true	false	64603	65186
46866	23	mix	VgRk	4	80	B	images/39_50_k.jpg	false	false	true	65187	65938
46867	23	mix	VgRk	4	81	A	V  G	false	false	true	33659	68330
46868	23	mix	VgRk	4	82	A	B  P	true	true	true	68330	68914
