idx	VP	resource	condition	blockNo	trial	task	stimulus	value	key	response	stim_pres_ms	response_ms
114038	45	mix	VgRk	4	1	A	T  B	false	false	true	12	775
114039	45	mix	VgRk	4	2	A	T  C	true	true	true	778	1687
114040	45	mix	VgRk	4	3	A	G  T	false	false	true	1690	2319
114041	45	mix	VgRk	4	4	A	S  P	false	false	true	2322	2967
114042	45	mix	VgRk	4	5	A	T  H	false	false	true	2969	3702
114043	45	mix	VgRk	4	6	A	T  Y	false	false	true	3706	4566
114044	45	mix	VgRk	4	7	A	N  C	false	false	true	4570	5982
114045	45	mix	VgRk	4	8	A	C  T	true	true	true	5985	6582
114046	45	mix	VgRk	4	9	A	P  J	true	true	true	6586	7278
114047	45	mix	VgRk	4	10	A	N  T	false	false	true	7281	8582
114048	45	mix	VgRk	4	11	A	Y  C	false	false	true	8585	9702
114049	45	mix	VgRk	4	12	B	images/13_50_R_k.jpg	true	true	true	13	11726
114050	45	mix	VgRk	4	13	B	images/39_50_R_k.jpg	true	true	true	11733	12238
114051	45	mix	VgRk	4	14	B	images/39_50_k.jpg	false	false	true	12241	12806
114052	45	mix	VgRk	4	15	B	images/25_50_k.jpg	false	false	true	12813	13584
114053	45	mix	VgRk	4	16	B	images/1_50_k.jpg	false	false	true	13587	14366
114054	45	mix	VgRk	4	17	B	images/25_50_k.jpg	false	false	true	14370	15078
114055	45	mix	VgRk	4	18	B	images/39_50_k.jpg	false	false	true	15081	15686
114056	45	mix	VgRk	4	19	B	images/13_50_R_k.jpg	true	true	true	15692	16198
114057	45	mix	VgRk	4	20	B	images/13_50_k.jpg	false	false	true	16201	16782
114058	45	mix	VgRk	4	21	B	images/1_50_k.jpg	false	false	true	16786	17688
114059	45	mix	VgRk	4	22	B	images/25_50_R_k.jpg	true	true	true	17691	18782
114060	45	mix	VgRk	4	23	B	images/25_50_k.jpg	false	false	true	18789	19550
114061	45	mix	VgRk	4	24	B	images/39_50_R_k.jpg	true	true	true	19553	20094
114062	45	mix	VgRk	4	25	B	images/39_50_k.jpg	false	false	true	20097	20886
114063	45	mix	VgRk	4	26	B	images/25_50_R_k.jpg	true	true	true	20889	21566
114064	45	mix	VgRk	4	27	B	images/13_50_R_k.jpg	true	true	true	21569	22198
114065	45	mix	VgRk	4	28	B	images/1_50_R_k.jpg	true	true	true	22201	22934
114066	45	mix	VgRk	4	29	B	images/13_50_k.jpg	false	false	true	22937	23614
114067	45	mix	VgRk	4	30	B	images/25_50_k.jpg	false	false	true	23617	24430
114068	45	mix	VgRk	4	31	B	images/39_50_R_k.jpg	true	true	true	24433	25166
114069	45	mix	VgRk	4	32	B	images/39_50_k.jpg	false	false	true	25169	25934
114070	45	mix	VgRk	4	33	B	images/1_50_k.jpg	false	false	true	25937	26815
114071	45	mix	VgRk	4	34	B	images/13_50_R_k.jpg	true	true	true	26818	27438
114072	45	mix	VgRk	4	35	B	images/25_50_R_k.jpg	true	true	true	27441	28358
114073	45	mix	VgRk	4	36	B	images/13_50_k.jpg	false	false	true	28361	29918
114074	45	mix	VgRk	4	37	B	images/39_50_R_k.jpg	true	true	true	29921	30598
114075	45	mix	VgRk	4	38	B	images/25_50_R_k.jpg	true	true	true	30601	31814
114076	45	mix	VgRk	4	39	B	images/13_50_R_k.jpg	true	true	true	31816	32494
114077	45	mix	VgRk	4	40	B	images/25_50_R_k.jpg	true	true	true	32497	34150
114078	45	mix	VgRk	4	41	B	images/25_50_k.jpg	false	false	true	34153	34774
114079	45	mix	VgRk	4	42	B	images/13_50_k.jpg	false	false	true	34777	35918
114080	45	mix	VgRk	4	43	B	images/1_50_k.jpg	false	false	true	35921	36590
114081	45	mix	VgRk	4	44	B	images/25_50_k.jpg	false	false	true	36594	38206
114082	45	mix	VgRk	4	45	B	images/13_50_k.jpg	false	false	true	38209	38885
114083	45	mix	VgRk	4	46	B	images/13_50_R_k.jpg	true	true	true	38888	39485
114084	45	mix	VgRk	4	47	B	images/25_50_k.jpg	false	false	true	39492	40357
114085	45	mix	VgRk	4	48	B	images/39_50_R_k.jpg	true	true	true	40360	40965
114086	45	mix	VgRk	4	49	B	images/25_50_R_k.jpg	true	true	true	40969	41877
114087	45	mix	VgRk	4	50	B	images/39_50_k.jpg	false	false	true	41880	42701
114088	45	mix	VgRk	4	51	B	images/1_50_k.jpg	false	false	true	42704	43613
114089	45	mix	VgRk	4	52	B	images/13_50_R_k.jpg	true	true	true	43616	44413
114090	45	mix	VgRk	4	53	B	images/39_50_R_k.jpg	true	true	true	44416	45029
114091	45	mix	VgRk	4	54	B	images/25_50_k.jpg	false	true	false	45036	46389
114092	45	mix	VgRk	4	55	B	images/39_50_k.jpg	false	false	true	46392	48133
114093	45	mix	VgRk	4	56	B	images/1_50_R_k.jpg	true	true	true	48136	48925
114094	45	mix	VgRk	4	57	B	images/25_50_R_k.jpg	true	true	true	48928	49829
114095	45	mix	VgRk	4	58	B	images/1_50_R_k.jpg	true	true	true	49832	50703
114096	45	mix	VgRk	4	59	B	images/25_50_k.jpg	false	true	false	50706	52725
114097	45	mix	VgRk	4	60	B	images/39_50_R_k.jpg	true	true	true	52728	53381
114098	45	mix	VgRk	4	61	B	images/25_50_R_k.jpg	true	true	true	53388	54189
114099	45	mix	VgRk	4	62	B	images/1_50_k.jpg	false	false	true	54192	54821
114100	45	mix	VgRk	4	63	B	images/39_50_k.jpg	false	false	true	54824	56421
114101	45	mix	VgRk	4	64	B	images/13_50_k.jpg	false	false	true	56424	57173
114102	45	mix	VgRk	4	65	B	images/1_50_R_k.jpg	true	true	true	57176	57805
114103	45	mix	VgRk	4	66	B	images/13_50_R_k.jpg	true	true	true	57808	58389
114104	45	mix	VgRk	4	67	B	images/39_50_R_k.jpg	true	true	true	58392	58957
114105	45	mix	VgRk	4	68	B	images/25_50_R_k.jpg	true	true	true	58960	59677
114106	45	mix	VgRk	4	69	B	images/1_50_k.jpg	false	false	true	59680	60253
114107	45	mix	VgRk	4	70	B	images/13_50_R_k.jpg	true	true	true	60256	60838
114108	45	mix	VgRk	4	71	B	images/1_50_R_k.jpg	true	true	true	60841	61493
