idx	VP	resource	condition	blockNo	trial	task	stimulus	value	key	response	stim_pres_ms	response_ms
21591	16	mix	VgRk	4	1	A	B  N	false	false	true	15	2013
21592	16	mix	VgRk	4	2	A	B  W	true	true	true	2013	2882
21593	16	mix	VgRk	4	3	A	W  V	false	false	true	2883	3562
21594	16	mix	VgRk	4	4	A	M  K	false	false	true	3563	4114
21595	16	mix	VgRk	4	5	A	M  C	true	true	true	4115	4898
21596	16	mix	VgRk	4	6	A	C  Y	false	false	true	4899	6122
21597	16	mix	VgRk	4	7	A	C  P	false	false	true	6123	6850
21598	16	mix	VgRk	4	8	A	C  M	true	true	true	6851	7395
21599	16	mix	VgRk	4	9	A	B  W	true	true	true	7396	8242
21600	16	mix	VgRk	4	10	A	M  C	true	true	true	8243	8986
21601	16	mix	VgRk	4	11	A	W  B	true	true	true	8987	9802
21602	16	mix	VgRk	4	12	A	B  W	true	true	true	9803	10626
21603	16	mix	VgRk	4	13	A	P  C	false	false	true	10627	12122
21604	16	mix	VgRk	4	14	A	C  M	true	true	true	12123	12674
21605	16	mix	VgRk	4	15	A	B  W	true	true	true	12675	13394
21606	16	mix	VgRk	4	16	A	C  M	true	true	true	13395	14026
21607	16	mix	VgRk	4	17	A	B  W	true	true	true	14027	14658
21608	16	mix	VgRk	4	18	A	D  B	false	false	true	14659	15346
21609	16	mix	VgRk	4	19	A	W  B	true	true	true	15347	16186
21610	16	mix	VgRk	4	20	A	B  W	true	true	true	16187	16946
21611	16	mix	VgRk	4	21	A	W  D	false	false	true	16947	17826
21612	16	mix	VgRk	4	22	B	images/25_50_k.jpg	false	false	true	15	19386
21613	16	mix	VgRk	4	23	B	images/13_50_k.jpg	false	false	true	19387	19922
21614	16	mix	VgRk	4	24	B	images/25_50_R_k.jpg	true	true	true	19923	20434
21615	16	mix	VgRk	4	25	B	images/1_50_R_k.jpg	true	true	true	20435	21026
21616	16	mix	VgRk	4	26	B	images/13_50_R_k.jpg	true	true	true	21027	21563
21617	16	mix	VgRk	4	27	B	images/1_50_k.jpg	false	false	true	21563	22082
21618	16	mix	VgRk	4	28	B	images/1_50_R_k.jpg	true	true	true	22083	22594
21619	16	mix	VgRk	4	29	B	images/25_50_R_k.jpg	true	true	true	22595	23154
21620	16	mix	VgRk	4	30	B	images/13_50_k.jpg	false	false	true	23155	23682
21621	16	mix	VgRk	4	31	B	images/39_50_k.jpg	false	false	true	23683	24130
21622	16	mix	VgRk	4	32	B	images/1_50_R_k.jpg	true	true	true	24131	24659
21623	16	mix	VgRk	4	33	B	images/39_50_R_k.jpg	true	true	true	24660	25163
21624	16	mix	VgRk	4	34	B	images/25_50_k.jpg	false	false	true	25164	25658
21625	16	mix	VgRk	4	35	B	images/25_50_R_k.jpg	true	true	true	25659	26266
21626	16	mix	VgRk	4	36	B	images/39_50_R_k.jpg	true	true	true	26267	26730
21627	16	mix	VgRk	4	37	B	images/1_50_k.jpg	false	false	true	26731	27226
21628	16	mix	VgRk	4	38	B	images/25_50_k.jpg	false	false	true	27227	27802
21629	16	mix	VgRk	4	39	B	images/1_50_k.jpg	false	false	true	27803	28530
21630	16	mix	VgRk	4	40	B	images/39_50_k.jpg	false	false	true	28531	29034
21631	16	mix	VgRk	4	41	B	images/13_50_k.jpg	false	false	true	29035	29506
21632	16	mix	VgRk	4	42	B	images/25_50_R_k.jpg	true	true	true	29507	30026
21633	16	mix	VgRk	4	43	B	images/25_50_k.jpg	false	false	true	30027	30594
21634	16	mix	VgRk	4	44	B	images/39_50_R_k.jpg	true	true	true	30594	31058
21635	16	mix	VgRk	4	45	B	images/13_50_R_k.jpg	true	true	true	31059	31586
21636	16	mix	VgRk	4	46	B	images/39_50_k.jpg	false	false	true	31586	32202
21637	16	mix	VgRk	4	47	B	images/13_50_k.jpg	false	false	true	32203	32658
21638	16	mix	VgRk	4	48	B	images/25_50_R_k.jpg	true	true	true	32659	33186
