P	R	B	C	T	O	t	sA	sB	a1	a2	a_t	r	RT
47	1	1	LTD-RMC	B S | M Y	0.000	0	C  M	39_50_k	A	0	(1, 0)	1	0.727
47	1	1	LTD-RMC	B S | M Y	0.727	1	Y  M	39_50_k	A	0	(1, 0)	0	0.599
47	1	1	LTD-RMC	B S | M Y	1.327	2	B  S	39_50_k	B	0	(2, 0)	1	3.703
47	1	1	LTD-RMC	B S | M Y	3.703	3	B  S	13_50_k	A	0	(1, 0)	0	3.255
47	1	1	LTD-RMC	B S | M Y	4.583	4	B  C	13_50_k	A	0	(1, 0)	1	2.519
47	1	1	LTD-RMC	B S | M Y	7.103	5	M  Y	13_50_k	A	1	(1, 1)	1	0.961
47	1	1	LTD-RMC	B S | M Y	8.065	6	S  B	13_50_k	B	0	(2, 0)	1	5.009
47	1	1	LTD-RMC	B S | M Y	8.713	7	S  B	13_50_R_k	B	1	(2, 1)	1	0.565
47	1	1	LTD-RMC	B S | M Y	9.279	8	S  B	1_50_R_k	A	1	(1, 1)	1	1.821
47	1	1	LTD-RMC	B S | M Y	9.887	9	M  Y	1_50_R_k	A	1	(1, 1)	1	2.063
47	1	1	LTD-RMC	B S | M Y	11.951	10	B  S	1_50_R_k	B	1	(2, 1)	1	3.183
47	1	1	LTD-RMC	B S | M Y	12.463	11	B  S	39_50_R_k	A	1	(1, 1)	1	1.287
47	1	1	LTD-RMC	B S | M Y	13.239	12	M  Y	39_50_R_k	A	1	(1, 1)	1	0.743
47	1	1	LTD-RMC	B S | M Y	13.983	13	S  B	39_50_R_k	A	1	(1, 1)	1	1.423
47	1	1	LTD-RMC	B S | M Y	15.407	14	B  F	39_50_R_k	B	1	(2, 1)	1	5.183
47	1	1	LTD-RMC	B S | M Y	17.647	15	B  F	1_50_R_k	B	1	(2, 1)	1	0.623
47	1	1	LTD-RMC	B S | M Y	18.271	16	B  F	25_50_R_k	B	1	(2, 1)	1	0.569
47	1	1	LTD-RMC	B S | M Y	18.841	17	B  F	39_50_R_k	B	1	(2, 1)	1	0.566
47	1	1	LTD-RMC	B S | M Y	19.407	18	B  F	25_50_k	B	0	(2, 0)	1	0.647
47	1	1	LTD-RMC	B S | M Y	20.055	19	B  F	13_50_R_k	A	0	(1, 0)	1	5.199
47	1	1	LTD-RMC	B S | M Y	20.607	20	B  S	13_50_R_k	A	1	(1, 1)	1	0.639
47	1	1	LTD-RMC	B S | M Y	21.247	21	Y  M	13_50_R_k	A	1	(1, 1)	1	1.510
47	1	1	LTD-RMC	B S | M Y	22.759	22	Y  P	13_50_R_k	A	0	(1, 0)	1	2.351
47	1	1	LTD-RMC	B S | M Y	25.111	23	M  Y	13_50_R_k	A	1	(1, 1)	1	0.871
47	1	1	LTD-RMC	B S | M Y	25.983	24	Y  G	13_50_R_k	B	1	(2, 1)	1	6.455
47	1	1	LTD-RMC	B S | M Y	26.511	25	Y  G	39_50_R_k	B	1	(2, 1)	1	0.529
47	1	1	LTD-RMC	B S | M Y	27.041	26	Y  G	13_50_R_k	B	1	(2, 1)	1	0.518
47	1	1	LTD-RMC	B S | M Y	27.559	27	Y  G	39_50_k	B	0	(2, 0)	1	0.633
47	1	1	LTD-RMC	B S | M Y	28.193	28	Y  G	1_50_k	A	0	(1, 0)	1	2.831
47	1	1	LTD-RMC	B S | M Y	28.815	29	S  B	1_50_k	B	0	(2, 0)	1	1.046
47	1	1	LTD-RMC	B S | M Y	29.239	30	S  B	25_50_R_k	A	1	(1, 1)	1	1.063
47	1	1	LTD-RMC	B S | M Y	29.879	31	M  Y	25_50_R_k	B	1	(2, 1)	1	1.007
47	1	1	LTD-RMC	B S | M Y	30.247	32	M  Y	13_50_k	A	1	(1, 1)	1	0.839
47	1	1	LTD-RMC	B S | M Y	30.719	33	S  B	13_50_k	A	1	(1, 1)	1	0.959
47	1	1	LTD-RMC	B S | M Y	31.679	34	B  S	13_50_k	A	1	(1, 1)	1	1.031
47	1	1	LTD-RMC	B S | M Y	32.711	35	Y  M	13_50_k	B	0	(2, 0)	1	2.920
47	1	1	LTD-RMC	B S | M Y	33.167	36	Y  M	39_50_k	B	0	(2, 0)	1	0.560
47	1	1	LTD-RMC	B S | M Y	33.727	37	Y  M	39_50_R_k	A	1	(1, 1)	1	1.831
47	1	1	LTD-RMC	B S | M Y	34.543	38	X  B	39_50_R_k	B	1	(2, 1)	1	1.279
47	1	1	LTD-RMC	B S | M Y	35.007	39	X  B	25_50_k	B	0	(2, 0)	1	0.656
47	1	1	LTD-RMC	B S | M Y	35.663	40	X  B	39_50_k	B	0	(2, 0)	1	0.616
47	1	1	LTD-RMC	B S | M Y	36.279	41	X  B	25_50_k	B	0	(2, 0)	1	0.850
47	1	1	LTD-RMC	B S | M Y	37.129	42	X  B	39_50_k	B	0	(2, 0)	1	0.541
47	1	1	LTD-RMC	B S | M Y	37.671	43	X  B	1_50_k	B	0	(2, 0)	1	0.592
47	1	1	LTD-RMC	B S | M Y	38.263	44	X  B	25_50_R_k	B	1	(2, 1)	1	0.592
47	1	1	LTD-RMC	B S | M Y	38.855	45	X  B	13_50_R_k	A	0	(1, 0)	1	4.832
47	1	1	LTD-RMC	B S | M Y	39.375	46	S  B	13_50_R_k	A	1	(1, 1)	1	0.703
47	1	1	LTD-RMC	B S | M Y	40.079	47	B  S	13_50_R_k	A	1	(1, 1)	1	0.767
