P	R	B	C	T	O	t	sA	sB	a1	a2	a_t	r	RT
9	1	1	LTD-RMC	D H | P S	0.000	0	P  S	25_50_R_k	A	1	(1, 1)	1	0.976
9	1	1	LTD-RMC	D H | P S	0.976	1	H  N	25_50_R_k	B	1	(2, 1)	1	1.551
9	1	1	LTD-RMC	D H | P S	1.552	2	H  N	1_50_R_k	A	0	(1, 0)	1	1.717
9	1	1	LTD-RMC	D H | P S	2.727	3	C  D	1_50_R_k	B	1	(2, 1)	1	1.900
9	1	1	LTD-RMC	D H | P S	3.455	4	C  D	1_50_k	A	0	(1, 0)	1	2.069
9	1	1	LTD-RMC	D H | P S	4.798	5	S  J	1_50_k	B	0	(2, 0)	1	2.045
9	1	1	LTD-RMC	D H | P S	5.502	6	S  J	25_50_R_k	A	0	(1, 0)	1	1.685
9	1	1	LTD-RMC	D H | P S	6.486	7	T  P	25_50_R_k	B	1	(2, 1)	1	1.613
9	1	1	LTD-RMC	D H | P S	7.118	8	T  P	39_50_k	A	0	(1, 0)	1	1.484
9	1	1	LTD-RMC	D H | P S	7.974	9	G  D	39_50_k	B	0	(2, 0)	1	1.557
9	1	1	LTD-RMC	D H | P S	8.678	10	G  D	39_50_R_k	A	1	(1, 1)	0	2.181
9	1	1	LTD-RMC	D H | P S	10.158	11	H  B	39_50_R_k	B	1	(2, 1)	1	2.133
9	1	1	LTD-RMC	D H | P S	10.814	12	H  B	1_50_k	A	0	(1, 0)	1	1.557
9	1	1	LTD-RMC	D H | P S	11.718	13	H  W	1_50_k	B	0	(2, 0)	1	1.738
9	1	1	LTD-RMC	D H | P S	12.566	14	H  W	39_50_k	A	0	(1, 0)	1	1.572
9	1	1	LTD-RMC	D H | P S	13.294	15	S  P	39_50_k	B	0	(2, 0)	1	1.469
9	1	1	LTD-RMC	D H | P S	14.038	16	S  P	25_50_k	A	1	(1, 1)	1	1.861
9	1	1	LTD-RMC	D H | P S	15.158	17	D  H	25_50_k	B	0	(2, 0)	1	1.773
9	1	1	LTD-RMC	D H | P S	15.814	18	D  H	25_50_R_k	A	1	(1, 1)	1	1.869
9	1	1	LTD-RMC	D H | P S	17.030	19	P  L	25_50_R_k	B	1	(2, 1)	1	1.949
9	1	1	LTD-RMC	D H | P S	17.766	20	P  L	13_50_k	A	0	(1, 0)	1	2.030
9	1	1	LTD-RMC	D H | P S	19.062	21	S  P	13_50_k	B	0	(2, 0)	1	2.637
9	1	1	LTD-RMC	D H | P S	20.406	22	S  P	25_50_k	A	1	(1, 1)	1	2.589
9	1	1	LTD-RMC	D H | P S	21.654	23	D  H	25_50_k	B	0	(2, 0)	1	1.974
9	1	1	LTD-RMC	D H | P S	22.382	24	D  H	13_50_k	A	1	(1, 1)	1	1.290
9	1	1	LTD-RMC	D H | P S	22.950	25	H  D	13_50_k	B	0	(2, 0)	1	1.333
9	1	1	LTD-RMC	D H | P S	23.718	26	H  D	1_50_k	A	0	(1, 0)	0	1.621
9	1	1	LTD-RMC	D H | P S	24.574	27	Q  P	1_50_k	B	0	(2, 0)	1	1.677
9	1	1	LTD-RMC	D H | P S	25.398	28	Q  P	25_50_k	A	0	(1, 0)	1	1.918
9	1	1	LTD-RMC	D H | P S	26.494	29	J  S	25_50_k	B	0	(2, 0)	1	1.925
9	1	1	LTD-RMC	D H | P S	27.326	30	J  S	39_50_R_k	B	1	(2, 1)	1	0.862
9	1	1	LTD-RMC	D H | P S	28.191	31	J  S	39_50_k	A	0	(1, 0)	1	2.365
9	1	1	LTD-RMC	D H | P S	28.862	32	S  P	39_50_k	A	1	(1, 1)	1	0.821
9	1	1	LTD-RMC	D H | P S	29.686	33	L  H	39_50_k	B	0	(2, 0)	1	2.516
