P	R	B	C	T	O	t	sA	sB	a1	a2	a_t	r	RT
37	1	1	LTD-RMC	H K | P X	0.000	0	R  K	1_50_R_k	B	1	(2, 1)	1	1.376
37	1	1	LTD-RMC	H K | P X	1.376	1	R  K	25_50_R_k	A	0	(1, 0)	1	1.376
37	1	1	LTD-RMC	H K | P X	1.376	2	W  K	25_50_R_k	B	1	(2, 1)	1	1.464
37	1	1	LTD-RMC	H K | P X	2.840	3	W  K	13_50_R_k	A	0	(1, 0)	1	1.464
37	1	1	LTD-RMC	H K | P X	2.840	4	H  K	13_50_R_k	A	1	(1, 1)	1	1.297
37	1	1	LTD-RMC	H K | P X	4.137	5	K  H	13_50_R_k	B	1	(2, 1)	1	1.320
37	1	1	LTD-RMC	H K | P X	4.160	6	K  H	25_50_k	B	0	(2, 0)	1	3.415
37	1	1	LTD-RMC	H K | P X	7.576	7	K  H	25_50_R_k	A	1	(1, 1)	1	3.438
37	1	1	LTD-RMC	H K | P X	7.576	8	R  K	25_50_R_k	B	1	(2, 1)	1	2.599
37	1	1	LTD-RMC	H K | P X	10.175	9	R  K	1_50_k	A	0	(1, 0)	1	2.624
37	1	1	LTD-RMC	H K | P X	10.200	10	X  C	1_50_k	B	0	(2, 0)	1	1.943
37	1	1	LTD-RMC	H K | P X	12.119	11	X  C	13_50_R_k	A	0	(1, 0)	1	1.943
37	1	1	LTD-RMC	H K | P X	12.143	12	R  P	13_50_R_k	B	1	(2, 1)	1	1.584
37	1	1	LTD-RMC	H K | P X	13.704	13	R  P	39_50_R_k	A	0	(1, 0)	1	1.583
37	1	1	LTD-RMC	H K | P X	13.727	14	X  P	39_50_R_k	B	1	(2, 1)	1	1.575
37	1	1	LTD-RMC	H K | P X	15.279	15	X  P	1_50_R_k	A	1	(1, 1)	1	1.552
37	1	1	LTD-RMC	H K | P X	15.280	16	K  H	1_50_R_k	B	1	(2, 1)	1	2.407
37	1	1	LTD-RMC	H K | P X	17.687	17	K  H	25_50_k	A	1	(1, 1)	1	2.407
37	1	1	LTD-RMC	H K | P X	17.688	18	H  L	25_50_k	B	0	(2, 0)	1	1.407
37	1	1	LTD-RMC	H K | P X	19.095	19	H  L	39_50_R_k	A	0	(1, 0)	1	1.455
