P	R	B	C	T	O	t	sA	sB	a1	a2	a_t	r	RT
44	1	1	LTD-RMC	B W | M Q	0.000	0	B  W	39_50_R_k	A	1	(1, 1)	1	2.434
44	1	1	LTD-RMC	B W | M Q	2.434	1	Q  M	39_50_R_k	A	1	(1, 1)	1	1.277
44	1	1	LTD-RMC	B W | M Q	3.714	2	M  Q	39_50_R_k	A	1	(1, 1)	1	0.773
44	1	1	LTD-RMC	B W | M Q	4.490	3	W  B	39_50_R_k	A	1	(1, 1)	1	0.813
44	1	1	LTD-RMC	B W | M Q	5.306	4	M  F	39_50_R_k	A	0	(1, 0)	1	1.785
44	1	1	LTD-RMC	B W | M Q	7.098	5	K  Q	39_50_R_k	A	0	(1, 0)	1	1.325
44	1	1	LTD-RMC	B W | M Q	8.426	6	Q  M	39_50_R_k	B	1	(2, 1)	1	9.232
44	1	1	LTD-RMC	B W | M Q	9.233	7	Q  M	13_50_k	B	0	(2, 0)	1	0.645
44	1	1	LTD-RMC	B W | M Q	9.882	8	Q  M	39_50_k	B	0	(2, 0)	1	0.532
44	1	1	LTD-RMC	B W | M Q	10.417	9	Q  M	13_50_k	B	0	(2, 0)	1	0.469
44	1	1	LTD-RMC	B W | M Q	10.890	10	Q  M	39_50_k	B	0	(2, 0)	1	0.468
44	1	1	LTD-RMC	B W | M Q	11.362	11	Q  M	13_50_R_k	B	1	(2, 1)	1	0.508
44	1	1	LTD-RMC	B W | M Q	11.873	12	Q  M	13_50_k	B	0	(2, 0)	1	0.587
44	1	1	LTD-RMC	B W | M Q	12.465	13	Q  M	39_50_k	B	0	(2, 0)	1	0.684
44	1	1	LTD-RMC	B W | M Q	13.153	14	Q  M	1_50_R_k	B	1	(2, 1)	1	0.876
44	1	1	LTD-RMC	B W | M Q	14.033	15	Q  M	25_50_k	B	0	(2, 0)	1	1.052
44	1	1	LTD-RMC	B W | M Q	15.089	16	Q  M	13_50_k	B	0	(2, 0)	1	0.668
44	1	1	LTD-RMC	B W | M Q	15.761	17	Q  M	25_50_k	B	0	(2, 0)	1	0.615
44	1	1	LTD-RMC	B W | M Q	16.380	18	Q  M	13_50_R_k	B	1	(2, 1)	1	0.522
44	1	1	LTD-RMC	B W | M Q	16.905	19	Q  M	1_50_R_k	B	1	(2, 1)	1	1.596
44	1	1	LTD-RMC	B W | M Q	18.505	20	Q  M	25_50_R_k	B	1	(2, 1)	1	0.604
44	1	1	LTD-RMC	B W | M Q	19.113	21	Q  M	13_50_k	A	1	(1, 1)	1	11.893
44	1	1	LTD-RMC	B W | M Q	20.322	22	W  B	13_50_k	A	1	(1, 1)	1	1.355
44	1	1	LTD-RMC	B W | M Q	21.681	23	L  W	13_50_k	A	0	(1, 0)	1	0.797
44	1	1	LTD-RMC	B W | M Q	22.482	24	M  Q	13_50_k	A	1	(1, 1)	1	0.635
44	1	1	LTD-RMC	B W | M Q	23.121	25	B  W	13_50_k	A	1	(1, 1)	1	0.820
44	1	1	LTD-RMC	B W | M Q	23.945	26	W  F	13_50_k	A	0	(1, 0)	1	1.620
44	1	1	LTD-RMC	B W | M Q	25.569	27	W  V	13_50_k	A	0	(1, 0)	1	0.772
44	1	1	LTD-RMC	B W | M Q	26.345	28	M  Q	13_50_k	A	1	(1, 1)	1	0.589
44	1	1	LTD-RMC	B W | M Q	26.937	29	Q  M	13_50_k	A	1	(1, 1)	1	0.726
44	1	1	LTD-RMC	B W | M Q	27.667	30	W  C	13_50_k	A	0	(1, 0)	1	0.945
44	1	1	LTD-RMC	B W | M Q	28.617	31	B  N	13_50_k	A	0	(1, 0)	1	0.685
44	1	1	LTD-RMC	B W | M Q	29.307	32	W  B	13_50_k	A	1	(1, 1)	1	0.883
44	1	1	LTD-RMC	B W | M Q	30.193	33	M  J	13_50_k	B	0	(2, 0)	1	11.608
44	1	1	LTD-RMC	B W | M Q	30.729	34	M  J	25_50_k	B	0	(2, 0)	1	0.668
44	1	1	LTD-RMC	B W | M Q	31.401	35	M  J	13_50_R_k	B	1	(2, 1)	1	0.477
44	1	1	LTD-RMC	B W | M Q	31.882	36	M  J	39_50_R_k	B	1	(2, 1)	1	0.660
44	1	1	LTD-RMC	B W | M Q	32.545	37	M  J	25_50_R_k	A	0	(1, 0)	1	3.077
44	1	1	LTD-RMC	B W | M Q	33.273	38	Q  M	25_50_R_k	B	1	(2, 1)	1	1.616
44	1	1	LTD-RMC	B W | M Q	34.169	39	Q  M	13_50_k	A	1	(1, 1)	1	1.461
44	1	1	LTD-RMC	B W | M Q	34.737	40	M  Q	13_50_k	B	0	(2, 0)	1	1.084
44	1	1	LTD-RMC	B W | M Q	35.257	41	M  Q	1_50_k	B	0	(2, 0)	1	1.093
44	1	1	LTD-RMC	B W | M Q	36.353	42	M  Q	13_50_k	B	0	(2, 0)	1	0.581
44	1	1	LTD-RMC	B W | M Q	36.937	43	M  Q	25_50_k	B	0	(2, 0)	1	0.537
44	1	1	LTD-RMC	B W | M Q	37.481	44	M  Q	13_50_k	B	0	(2, 0)	1	0.540
44	1	1	LTD-RMC	B W | M Q	38.025	45	M  Q	1_50_R_k	B	1	(2, 1)	1	0.982
44	1	1	LTD-RMC	B W | M Q	39.010	46	M  Q	1_50_k	B	1	(2, 1)	0	1.060
44	1	1	LTD-RMC	B W | M Q	40.073	47	M  Q	25_50_k	B	0	(2, 0)	1	1.781
44	1	1	LTD-RMC	B W | M Q	41.857	48	M  Q	39_50_k	B	0	(2, 0)	1	1.621
44	1	1	LTD-RMC	B W | M Q	43.481	49	M  Q	39_50_R_k	B	1	(2, 1)	1	0.573
44	1	1	LTD-RMC	B W | M Q	44.057	50	M  Q	25_50_R_k	B	1	(2, 1)	1	0.789
44	1	1	LTD-RMC	B W | M Q	44.849	51	M  Q	1_50_k	A	1	(1, 1)	1	11.117
44	1	1	LTD-RMC	B W | M Q	45.857	52	W  B	1_50_k	A	1	(1, 1)	1	0.653
44	1	1	LTD-RMC	B W | M Q	46.513	53	D  Q	1_50_k	A	0	(1, 0)	1	0.527
