P	R	B	C	T	O	t	sA	sB	a1	a2	a_t	r	RT
18	1	1	LTD-RMC	D M | P S	0.000	0	Y  S	25_50_k	A	0	(1, 0)	1	0.759
18	1	1	LTD-RMC	D M | P S	0.759	1	H  P	25_50_k	A	0	(1, 0)	1	0.487
18	1	1	LTD-RMC	D M | P S	1.247	2	P  S	25_50_k	A	1	(1, 1)	1	0.727
18	1	1	LTD-RMC	D M | P S	1.975	3	J  M	25_50_k	A	0	(1, 0)	1	0.599
18	1	1	LTD-RMC	D M | P S	2.575	4	D  M	25_50_k	A	1	(1, 1)	1	0.487
18	1	1	LTD-RMC	D M | P S	3.063	5	M  D	25_50_k	A	1	(1, 1)	1	0.543
18	1	1	LTD-RMC	D M | P S	3.607	6	S  C	25_50_k	A	0	(1, 0)	1	0.543
18	1	1	LTD-RMC	D M | P S	4.151	7	S  P	25_50_k	A	1	(1, 1)	1	0.479
18	1	1	LTD-RMC	D M | P S	4.631	8	X  D	25_50_k	A	0	(1, 0)	1	0.463
18	1	1	LTD-RMC	D M | P S	5.095	9	K  D	25_50_k	A	0	(1, 0)	1	0.471
18	1	1	LTD-RMC	D M | P S	5.567	10	G  P	25_50_k	A	0	(1, 0)	1	0.519
18	1	1	LTD-RMC	D M | P S	6.087	11	D  M	25_50_k	A	1	(1, 1)	1	0.503
18	1	1	LTD-RMC	D M | P S	6.591	12	P  S	25_50_k	A	1	(1, 1)	1	1.127
18	1	1	LTD-RMC	D M | P S	7.719	13	M  D	25_50_k	A	1	(1, 1)	1	0.579
18	1	1	LTD-RMC	D M | P S	8.303	14	P  S	25_50_k	A	1	(1, 1)	1	0.527
18	1	1	LTD-RMC	D M | P S	8.831	15	P  W	25_50_k	A	0	(1, 0)	1	0.487
18	1	1	LTD-RMC	D M | P S	9.319	16	P  L	25_50_k	A	0	(1, 0)	1	0.423
18	1	1	LTD-RMC	D M | P S	9.743	17	G  D	25_50_k	A	1	(1, 1)	0	0.663
18	1	1	LTD-RMC	D M | P S	10.407	18	S  P	25_50_k	A	1	(1, 1)	1	1.529
18	1	1	LTD-RMC	D M | P S	11.937	19	T  D	25_50_k	A	0	(1, 0)	1	0.448
18	1	1	LTD-RMC	D M | P S	12.385	20	X  P	25_50_k	A	0	(1, 0)	1	0.541
18	1	1	LTD-RMC	D M | P S	12.927	21	M  D	25_50_k	A	1	(1, 1)	1	0.414
18	1	1	LTD-RMC	D M | P S	13.343	22	P  S	25_50_k	A	1	(1, 1)	1	0.503
18	1	1	LTD-RMC	D M | P S	13.847	23	T  S	25_50_k	A	0	(1, 0)	1	0.487
18	1	1	LTD-RMC	D M | P S	14.335	24	L  P	25_50_k	A	0	(1, 0)	1	0.511
18	1	1	LTD-RMC	D M | P S	14.847	25	G  D	25_50_k	A	0	(1, 0)	1	0.535
18	1	1	LTD-RMC	D M | P S	15.383	26	D  M	25_50_k	A	1	(1, 1)	1	0.530
18	1	1	LTD-RMC	D M | P S	15.914	27	M  D	25_50_k	A	1	(1, 1)	1	0.477
18	1	1	LTD-RMC	D M | P S	16.391	28	D  M	25_50_k	A	1	(1, 1)	1	0.431
18	1	1	LTD-RMC	D M | P S	16.823	29	M  D	25_50_k	A	1	(1, 1)	1	0.415
18	1	1	LTD-RMC	D M | P S	17.239	30	F  S	25_50_k	A	0	(1, 0)	1	0.575
18	1	1	LTD-RMC	D M | P S	17.815	31	D  B	25_50_k	A	0	(1, 0)	1	0.431
18	1	1	LTD-RMC	D M | P S	18.247	32	S  P	25_50_k	A	1	(1, 1)	1	0.479
18	1	1	LTD-RMC	D M | P S	18.727	33	P  S	25_50_k	A	1	(1, 1)	1	0.520
18	1	1	LTD-RMC	D M | P S	19.247	34	M  X	25_50_k	A	0	(1, 0)	1	0.631
18	1	1	LTD-RMC	D M | P S	19.879	35	N  P	25_50_k	A	0	(1, 0)	1	0.471
