P	R	B	C	T	O	t	sA	sB	a1	a2	a_t	r	RT
39	1	1	LTD-RMC	C X | G V	0.000	0	G  M	39_50_k	A	0	(1, 0)	1	1.261
39	1	1	LTD-RMC	C X | G V	1.261	1	G  V	39_50_k	A	1	(1, 1)	1	1.043
39	1	1	LTD-RMC	C X | G V	2.307	2	V  T	39_50_k	A	0	(1, 0)	1	0.861
39	1	1	LTD-RMC	C X | G V	3.171	3	C  X	39_50_k	A	1	(1, 1)	1	1.717
39	1	1	LTD-RMC	C X | G V	4.891	4	Y  V	39_50_k	A	0	(1, 0)	1	0.789
39	1	1	LTD-RMC	C X | G V	5.683	5	X  C	39_50_k	A	1	(1, 1)	1	0.812
39	1	1	LTD-RMC	C X | G V	6.499	6	C  X	39_50_k	A	1	(1, 1)	1	0.868
39	1	1	LTD-RMC	C X | G V	7.371	7	C  D	39_50_k	A	0	(1, 0)	1	0.701
39	1	1	LTD-RMC	C X | G V	8.075	8	V  L	39_50_k	A	0	(1, 0)	1	1.013
39	1	1	LTD-RMC	C X | G V	9.091	9	V  N	39_50_k	A	0	(1, 0)	1	1.005
39	1	1	LTD-RMC	C X | G V	10.099	10	V  G	39_50_k	A	1	(1, 1)	1	0.748
39	1	1	LTD-RMC	C X | G V	10.851	11	G  V	39_50_k	A	1	(1, 1)	1	0.649
39	1	1	LTD-RMC	C X | G V	11.507	12	C  X	39_50_k	A	1	(1, 1)	1	0.933
39	1	1	LTD-RMC	C X | G V	12.443	13	X  C	39_50_k	A	1	(1, 1)	1	0.740
39	1	1	LTD-RMC	C X | G V	13.187	14	X  N	39_50_k	A	0	(1, 0)	1	0.661
39	1	1	LTD-RMC	C X | G V	13.851	15	H  X	39_50_k	A	0	(1, 0)	1	0.909
39	1	1	LTD-RMC	C X | G V	14.763	16	X  P	39_50_k	A	0	(1, 0)	1	1.109
39	1	1	LTD-RMC	C X | G V	15.875	17	X  W	39_50_k	A	0	(1, 0)	1	0.888
39	1	1	LTD-RMC	C X | G V	16.771	18	G  J	39_50_k	A	0	(1, 0)	1	0.837
39	1	1	LTD-RMC	C X | G V	17.611	19	G  V	39_50_k	A	1	(1, 1)	1	1.300
39	1	1	LTD-RMC	C X | G V	18.915	20	G  P	39_50_k	A	0	(1, 0)	1	0.772
39	1	1	LTD-RMC	C X | G V	19.690	21	V  G	39_50_k	A	1	(1, 1)	1	0.720
39	1	1	LTD-RMC	C X | G V	20.418	22	G  V	39_50_k	A	1	(1, 1)	1	0.724
39	1	1	LTD-RMC	C X | G V	21.146	23	G  T	39_50_k	A	0	(1, 0)	1	0.780
39	1	1	LTD-RMC	C X | G V	21.930	24	V  G	39_50_k	A	1	(1, 1)	1	0.701
39	1	1	LTD-RMC	C X | G V	22.634	25	M  V	39_50_k	A	0	(1, 0)	1	0.828
39	1	1	LTD-RMC	C X | G V	23.466	26	V  P	39_50_k	A	0	(1, 0)	1	0.885
39	1	1	LTD-RMC	C X | G V	24.355	27	C  X	39_50_k	A	1	(1, 1)	1	0.753
39	1	1	LTD-RMC	C X | G V	25.114	28	Y  G	39_50_k	A	1	(1, 1)	0	0.796
39	1	1	LTD-RMC	C X | G V	25.914	29	X  C	39_50_k	A	1	(1, 1)	1	1.117
39	1	1	LTD-RMC	C X | G V	27.034	30	V  G	39_50_k	A	1	(1, 1)	1	0.937
39	1	1	LTD-RMC	C X | G V	27.978	31	V  W	39_50_k	A	0	(1, 0)	1	0.796
39	1	1	LTD-RMC	C X | G V	28.778	32	P  C	39_50_k	A	0	(1, 0)	1	0.645
39	1	1	LTD-RMC	C X | G V	29.426	33	X  C	39_50_k	A	1	(1, 1)	1	1.109
39	1	1	LTD-RMC	C X | G V	30.538	34	Q  C	39_50_k	A	0	(1, 0)	1	1.172
39	1	1	LTD-RMC	C X | G V	31.714	35	K  C	39_50_k	A	0	(1, 0)	1	0.742
39	1	1	LTD-RMC	C X | G V	32.459	36	V  G	39_50_k	A	1	(1, 1)	1	0.806
39	1	1	LTD-RMC	C X | G V	33.268	37	K  V	39_50_k	A	0	(1, 0)	1	0.932
39	1	1	LTD-RMC	C X | G V	34.204	38	X  C	39_50_k	A	1	(1, 1)	1	1.658
39	1	1	LTD-RMC	C X | G V	35.866	39	B  C	39_50_k	A	0	(1, 0)	1	0.684
39	1	1	LTD-RMC	C X | G V	36.554	40	M  G	39_50_k	A	0	(1, 0)	1	0.677
39	1	1	LTD-RMC	C X | G V	37.234	41	G  V	39_50_k	A	1	(1, 1)	1	0.828
39	1	1	LTD-RMC	C X | G V	38.066	42	C  Q	39_50_k	A	0	(1, 0)	1	1.540
