P	R	B	C	T	O	t	sA	sB	a1	a2	a_t	r	RT
21	1	1	LTD-RMC	C H | L X	0.000	0	X  L	1_50_R_k	A	1	(1, 1)	1	1.151
21	1	1	LTD-RMC	C H | L X	1.151	1	C  H	1_50_R_k	B	1	(2, 1)	1	1.783
21	1	1	LTD-RMC	C H | L X	1.783	2	C  H	39_50_R_k	A	1	(1, 1)	1	1.238
21	1	1	LTD-RMC	C H | L X	2.392	3	X  L	39_50_R_k	B	1	(2, 1)	1	1.245
21	1	1	LTD-RMC	C H | L X	3.031	4	X  L	25_50_k	A	1	(1, 1)	1	1.395
21	1	1	LTD-RMC	C H | L X	3.791	5	W  L	25_50_k	B	0	(2, 0)	1	1.316
21	1	1	LTD-RMC	C H | L X	4.350	6	W  L	13_50_k	A	0	(1, 0)	1	1.228
21	1	1	LTD-RMC	C H | L X	5.023	7	X  V	13_50_k	B	0	(2, 0)	1	1.912
21	1	1	LTD-RMC	C H | L X	6.270	8	X  V	1_50_R_k	A	0	(1, 0)	1	2.245
21	1	1	LTD-RMC	C H | L X	7.271	9	C  H	1_50_R_k	B	1	(2, 1)	1	1.676
21	1	1	LTD-RMC	C H | L X	7.950	10	C  H	25_50_R_k	A	1	(1, 1)	1	1.311
21	1	1	LTD-RMC	C H | L X	8.585	11	H  V	25_50_R_k	B	1	(2, 1)	1	1.304
21	1	1	LTD-RMC	C H | L X	9.262	12	H  V	25_50_k	A	0	(1, 0)	1	1.330
21	1	1	LTD-RMC	C H | L X	9.918	13	L  X	25_50_k	B	0	(2, 0)	1	1.692
21	1	1	LTD-RMC	C H | L X	10.958	14	L  X	39_50_R_k	A	1	(1, 1)	1	1.980
21	1	1	LTD-RMC	C H | L X	11.902	15	C  H	39_50_R_k	B	1	(2, 1)	1	1.877
21	1	1	LTD-RMC	C H | L X	12.838	16	C  H	13_50_k	A	1	(1, 1)	1	1.604
21	1	1	LTD-RMC	C H | L X	13.510	17	L  X	13_50_k	A	1	(1, 1)	1	0.964
21	1	1	LTD-RMC	C H | L X	14.478	18	V  L	13_50_k	B	0	(2, 0)	1	2.340
21	1	1	LTD-RMC	C H | L X	15.182	19	V  L	1_50_R_k	A	0	(1, 0)	1	1.332
21	1	1	LTD-RMC	C H | L X	15.814	20	X  L	1_50_R_k	B	1	(2, 1)	1	1.268
21	1	1	LTD-RMC	C H | L X	16.454	21	X  L	1_50_k	A	1	(1, 1)	1	1.261
21	1	1	LTD-RMC	C H | L X	17.078	22	G  L	1_50_k	B	0	(2, 0)	1	1.204
21	1	1	LTD-RMC	C H | L X	17.662	23	G  L	13_50_R_k	A	0	(1, 0)	1	1.229
21	1	1	LTD-RMC	C H | L X	18.310	24	L  X	13_50_R_k	B	1	(2, 1)	1	1.236
21	1	1	LTD-RMC	C H | L X	18.902	25	L  X	1_50_R_k	A	1	(1, 1)	1	1.332
21	1	1	LTD-RMC	C H | L X	19.646	26	C  H	1_50_R_k	B	1	(2, 1)	1	1.387
21	1	1	LTD-RMC	C H | L X	20.294	27	C  H	13_50_R_k	A	1	(1, 1)	1	1.324
21	1	1	LTD-RMC	C H | L X	20.974	28	X  F	13_50_R_k	B	1	(2, 1)	1	1.245
21	1	1	LTD-RMC	C H | L X	21.542	29	X  F	39_50_k	A	0	(1, 0)	1	1.205
21	1	1	LTD-RMC	C H | L X	22.182	30	R  C	39_50_k	B	0	(2, 0)	1	1.205
21	1	1	LTD-RMC	C H | L X	22.750	31	R  C	25_50_k	A	0	(1, 0)	1	1.276
21	1	1	LTD-RMC	C H | L X	23.462	32	X  J	25_50_k	B	0	(2, 0)	1	1.392
21	1	1	LTD-RMC	C H | L X	24.150	33	X  J	1_50_k	A	0	(1, 0)	1	1.389
21	1	1	LTD-RMC	C H | L X	24.854	34	H  F	1_50_k	B	0	(2, 0)	1	1.726
21	1	1	LTD-RMC	C H | L X	25.886	35	H  F	25_50_k	A	0	(1, 0)	1	1.785
21	1	1	LTD-RMC	C H | L X	26.646	36	F  H	25_50_k	B	0	(2, 0)	1	1.717
21	1	1	LTD-RMC	C H | L X	27.606	37	F  H	13_50_k	A	0	(1, 0)	1	1.997
21	1	1	LTD-RMC	C H | L X	28.646	38	X  L	13_50_k	B	0	(2, 0)	1	2.245
21	1	1	LTD-RMC	C H | L X	29.854	39	X  L	1_50_R_k	A	1	(1, 1)	1	1.791
