P	R	B	C	T	O	t	sA	sB	a1	a2	a_t	r	RT
25	1	1	LTD-RMC	C V | J S	0.000	0	C  K	39_50_R_k	A	0	(1, 0)	1	0.797
25	1	1	LTD-RMC	C V | J S	0.797	1	Q  C	39_50_R_k	A	0	(1, 0)	1	0.752
25	1	1	LTD-RMC	C V | J S	1.549	2	J  S	39_50_R_k	A	1	(1, 1)	1	0.752
25	1	1	LTD-RMC	C V | J S	2.301	3	V  H	39_50_R_k	A	0	(1, 0)	1	0.631
25	1	1	LTD-RMC	C V | J S	2.932	4	R  S	39_50_R_k	A	0	(1, 0)	1	1.527
25	1	1	LTD-RMC	C V | J S	4.460	5	M  S	39_50_R_k	B	1	(2, 1)	1	6.300
25	1	1	LTD-RMC	C V | J S	6.300	6	M  S	25_50_R_k	B	1	(2, 1)	1	0.703
25	1	1	LTD-RMC	C V | J S	7.004	7	M  S	13_50_R_k	B	1	(2, 1)	1	1.119
25	1	1	LTD-RMC	C V | J S	8.124	8	M  S	25_50_k	A	0	(1, 0)	1	4.513
25	1	1	LTD-RMC	C V | J S	8.974	9	S  J	25_50_k	A	1	(1, 1)	1	0.901
25	1	1	LTD-RMC	C V | J S	9.876	10	V  C	25_50_k	B	0	(2, 0)	1	2.375
25	1	1	LTD-RMC	C V | J S	10.500	11	V  C	39_50_R_k	A	1	(1, 1)	1	1.975
25	1	1	LTD-RMC	C V | J S	11.852	12	S  J	39_50_R_k	B	1	(2, 1)	1	2.151
25	1	1	LTD-RMC	C V | J S	12.652	13	S  J	1_50_R_k	A	1	(1, 1)	1	2.703
25	1	1	LTD-RMC	C V | J S	14.556	14	G  V	1_50_R_k	A	0	(1, 0)	1	1.623
25	1	1	LTD-RMC	C V | J S	16.180	15	J  S	1_50_R_k	A	1	(1, 1)	1	0.687
25	1	1	LTD-RMC	C V | J S	16.868	16	M  J	1_50_R_k	A	0	(1, 0)	1	0.743
25	1	1	LTD-RMC	C V | J S	17.612	17	S  J	1_50_R_k	B	1	(2, 1)	1	6.039
25	1	1	LTD-RMC	C V | J S	18.692	18	S  J	25_50_R_k	A	1	(1, 1)	1	1.919
25	1	1	LTD-RMC	C V | J S	19.532	19	J  S	25_50_R_k	B	1	(2, 1)	1	2.335
25	1	1	LTD-RMC	C V | J S	21.028	20	J  S	39_50_k	B	0	(2, 0)	1	0.863
25	1	1	LTD-RMC	C V | J S	21.892	21	J  S	25_50_k	B	0	(2, 0)	1	0.768
25	1	1	LTD-RMC	C V | J S	22.661	22	J  S	39_50_k	B	0	(2, 0)	1	0.622
25	1	1	LTD-RMC	C V | J S	23.284	23	J  S	1_50_k	B	0	(2, 0)	1	0.751
25	1	1	LTD-RMC	C V | J S	24.036	24	J  S	13_50_R_k	A	1	(1, 1)	1	5.223
25	1	1	LTD-RMC	C V | J S	24.756	25	S  J	13_50_R_k	A	1	(1, 1)	1	0.783
25	1	1	LTD-RMC	C V | J S	25.540	26	S  Y	13_50_R_k	A	0	(1, 0)	1	0.677
25	1	1	LTD-RMC	C V | J S	26.220	27	C  V	13_50_R_k	A	1	(1, 1)	1	0.983
25	1	1	LTD-RMC	C V | J S	27.204	28	S  W	13_50_R_k	A	0	(1, 0)	1	0.767
25	1	1	LTD-RMC	C V | J S	27.972	29	V  C	13_50_R_k	A	1	(1, 1)	1	0.679
25	1	1	LTD-RMC	C V | J S	28.652	30	L  V	13_50_R_k	A	0	(1, 0)	1	0.816
25	1	1	LTD-RMC	C V | J S	29.469	31	C  K	13_50_R_k	A	0	(1, 0)	1	0.782
25	1	1	LTD-RMC	C V | J S	30.252	32	P  S	13_50_R_k	A	0	(1, 0)	1	0.879
25	1	1	LTD-RMC	C V | J S	31.132	33	J  S	13_50_R_k	A	1	(1, 1)	1	0.679
25	1	1	LTD-RMC	C V | J S	31.812	34	M  C	13_50_R_k	A	0	(1, 0)	1	0.663
25	1	1	LTD-RMC	C V | J S	32.476	35	S  J	13_50_R_k	A	1	(1, 1)	1	0.703
25	1	1	LTD-RMC	C V | J S	33.180	36	D  C	13_50_R_k	A	0	(1, 0)	1	0.639
25	1	1	LTD-RMC	C V | J S	33.820	37	V  C	13_50_R_k	A	1	(1, 1)	1	0.791
25	1	1	LTD-RMC	C V | J S	34.612	38	J  S	13_50_R_k	B	1	(2, 1)	1	11.527
25	1	1	LTD-RMC	C V | J S	35.564	39	J  S	39_50_R_k	A	1	(1, 1)	1	1.831
25	1	1	LTD-RMC	C V | J S	36.444	40	L  V	39_50_R_k	B	1	(2, 1)	1	1.511
25	1	1	LTD-RMC	C V | J S	37.076	41	L  V	39_50_k	A	0	(1, 0)	1	1.359
25	1	1	LTD-RMC	C V | J S	37.804	42	J  B	39_50_k	B	0	(2, 0)	1	1.639
25	1	1	LTD-RMC	C V | J S	38.716	43	J  B	13_50_k	B	0	(2, 0)	1	0.696
25	1	1	LTD-RMC	C V | J S	39.413	44	J  B	1_50_R_k	B	1	(2, 1)	1	0.926
25	1	1	LTD-RMC	C V | J S	40.340	45	J  B	39_50_R_k	B	1	(2, 1)	1	0.639
25	1	1	LTD-RMC	C V | J S	40.980	46	J  B	39_50_k	B	0	(2, 0)	1	0.680
25	1	1	LTD-RMC	C V | J S	41.660	47	J  B	13_50_R_k	B	1	(2, 1)	1	0.704
25	1	1	LTD-RMC	C V | J S	42.365	48	J  B	13_50_k	B	0	(2, 0)	1	1.064
25	1	1	LTD-RMC	C V | J S	43.430	49	J  B	39_50_k	B	0	(2, 0)	1	1.342
25	1	1	LTD-RMC	C V | J S	44.772	50	J  B	1_50_R_k	B	1	(2, 1)	1	0.695
25	1	1	LTD-RMC	C V | J S	45.468	51	J  B	1_50_k	B	0	(2, 0)	1	0.742
25	1	1	LTD-RMC	C V | J S	46.212	52	J  B	25_50_k	B	0	(2, 0)	1	0.904
25	1	1	LTD-RMC	C V | J S	47.116	53	J  B	13_50_k	B	0	(2, 0)	1	0.720
25	1	1	LTD-RMC	C V | J S	47.836	54	J  B	39_50_R_k	B	1	(2, 1)	1	0.544
25	1	1	LTD-RMC	C V | J S	48.380	55	J  B	39_50_k	B	0	(2, 0)	1	1.144
25	1	1	LTD-RMC	C V | J S	49.524	56	J  B	13_50_k	B	0	(2, 0)	1	0.599
25	1	1	LTD-RMC	C V | J S	50.124	57	J  B	13_50_R_k	B	1	(2, 1)	1	0.591
25	1	1	LTD-RMC	C V | J S	50.716	58	J  B	25_50_k	B	0	(2, 0)	1	0.816
25	1	1	LTD-RMC	C V | J S	51.532	59	J  B	39_50_k	B	0	(2, 0)	1	0.888
25	1	1	LTD-RMC	C V | J S	52.420	60	J  B	25_50_k	A	0	(1, 0)	1	15.311
25	1	1	LTD-RMC	C V | J S	53.116	61	S  J	25_50_k	A	1	(1, 1)	1	0.728
25	1	1	LTD-RMC	C V | J S	53.844	62	J  D	25_50_k	A	0	(1, 0)	1	0.552
25	1	1	LTD-RMC	C V | J S	54.396	63	R  J	25_50_k	B	0	(2, 0)	1	2.792
25	1	1	LTD-RMC	C V | J S	55.212	64	R  J	39_50_k	B	0	(2, 0)	1	1.568
25	1	1	LTD-RMC	C V | J S	56.780	65	R  J	39_50_R_k	A	0	(1, 0)	1	3.232
25	1	1	LTD-RMC	C V | J S	57.628	66	R  C	39_50_R_k	A	0	(1, 0)	1	1.664
25	1	1	LTD-RMC	C V | J S	59.292	67	V  C	39_50_R_k	A	1	(1, 1)	1	0.664
25	1	1	LTD-RMC	C V | J S	59.956	68	D  C	39_50_R_k	B	0	(2, 0)	0	3.791
25	1	1	LTD-RMC	C V | J S	60.572	69	D  C	25_50_R_k	B	1	(2, 1)	1	1.376
