P	R	B	C	T	O	t	sA	sB	a1	a2	a_t	r	RT
27	1	1	LTD-RMC	L V | P R	0.000	0	V  L	39_50_R_k	A	1	(1, 1)	1	1.025
27	1	1	LTD-RMC	L V | P R	1.025	1	P  W	39_50_R_k	B	1	(2, 1)	1	1.721
27	1	1	LTD-RMC	L V | P R	1.721	2	P  W	25_50_k	B	0	(2, 0)	1	0.758
27	1	1	LTD-RMC	L V | P R	2.482	3	P  W	1_50_k	A	0	(1, 0)	1	2.117
27	1	1	LTD-RMC	L V | P R	3.145	4	L  V	1_50_k	A	1	(1, 1)	1	1.130
27	1	1	LTD-RMC	L V | P R	4.282	5	V  L	1_50_k	A	1	(1, 1)	1	0.755
27	1	1	LTD-RMC	L V | P R	5.041	6	L  V	1_50_k	A	1	(1, 1)	1	0.653
27	1	1	LTD-RMC	L V | P R	5.697	7	C  V	1_50_k	A	0	(1, 0)	1	0.828
27	1	1	LTD-RMC	L V | P R	6.529	8	W  L	1_50_k	A	1	(1, 1)	0	0.689
27	1	1	LTD-RMC	L V | P R	7.225	9	V  L	1_50_k	A	1	(1, 1)	1	1.037
27	1	1	LTD-RMC	L V | P R	8.265	10	P  J	1_50_k	A	0	(1, 0)	1	1.054
27	1	1	LTD-RMC	L V | P R	9.322	11	L  V	1_50_k	A	1	(1, 1)	1	0.763
27	1	1	LTD-RMC	L V | P R	10.089	12	R  P	1_50_k	A	1	(1, 1)	1	0.743
27	1	1	LTD-RMC	L V | P R	10.835	13	L  V	1_50_k	A	1	(1, 1)	1	0.659
27	1	1	LTD-RMC	L V | P R	11.497	14	Y  R	1_50_k	A	0	(1, 0)	1	0.737
27	1	1	LTD-RMC	L V | P R	12.241	15	P  R	1_50_k	A	1	(1, 1)	1	1.717
27	1	1	LTD-RMC	L V | P R	13.961	16	L  H	1_50_k	A	0	(1, 0)	1	1.012
27	1	1	LTD-RMC	L V | P R	14.977	17	P  Y	1_50_k	A	0	(1, 0)	1	0.692
27	1	1	LTD-RMC	L V | P R	15.673	18	V  L	1_50_k	A	1	(1, 1)	1	1.245
27	1	1	LTD-RMC	L V | P R	16.921	19	V  J	1_50_k	A	0	(1, 0)	1	0.781
27	1	1	LTD-RMC	L V | P R	17.705	20	L  V	1_50_k	A	1	(1, 1)	1	0.677
27	1	1	LTD-RMC	L V | P R	18.385	21	K  L	1_50_k	A	0	(1, 0)	1	1.165
27	1	1	LTD-RMC	L V | P R	19.553	22	Q  R	1_50_k	A	0	(1, 0)	1	1.085
27	1	1	LTD-RMC	L V | P R	20.641	23	T  L	1_50_k	A	0	(1, 0)	1	0.756
27	1	1	LTD-RMC	L V | P R	21.401	24	R  P	1_50_k	A	1	(1, 1)	1	0.837
27	1	1	LTD-RMC	L V | P R	22.241	25	V  L	1_50_k	B	0	(2, 0)	1	20.787
27	1	1	LTD-RMC	L V | P R	23.273	26	V  L	1_50_R_k	B	1	(2, 1)	1	0.669
27	1	1	LTD-RMC	L V | P R	23.945	27	V  L	39_50_R_k	B	1	(2, 1)	1	0.565
27	1	1	LTD-RMC	L V | P R	24.513	28	V  L	25_50_k	B	0	(2, 0)	1	0.621
27	1	1	LTD-RMC	L V | P R	25.137	29	V  L	13_50_R_k	B	1	(2, 1)	1	0.549
27	1	1	LTD-RMC	L V | P R	25.689	30	V  L	25_50_R_k	B	0	(2, 0)	0	0.649
27	1	1	LTD-RMC	L V | P R	26.345	31	V  L	39_50_k	B	0	(2, 0)	1	1.405
27	1	1	LTD-RMC	L V | P R	27.753	32	V  L	25_50_k	B	0	(2, 0)	1	0.629
27	1	1	LTD-RMC	L V | P R	28.385	33	V  L	39_50_k	B	0	(2, 0)	1	0.533
27	1	1	LTD-RMC	L V | P R	28.921	34	V  L	1_50_R_k	B	1	(2, 1)	1	0.597
27	1	1	LTD-RMC	L V | P R	29.521	35	V  L	25_50_R_k	B	1	(2, 1)	1	0.549
27	1	1	LTD-RMC	L V | P R	30.073	36	V  L	13_50_k	B	0	(2, 0)	1	0.925
27	1	1	LTD-RMC	L V | P R	31.001	37	V  L	1_50_R_k	B	1	(2, 1)	1	0.601
27	1	1	LTD-RMC	L V | P R	31.609	38	V  L	39_50_R_k	B	1	(2, 1)	1	0.599
27	1	1	LTD-RMC	L V | P R	32.210	39	V  L	25_50_k	B	1	(2, 1)	0	0.620
27	1	1	LTD-RMC	L V | P R	32.833	40	V  L	39_50_k	B	1	(2, 1)	0	0.581
27	1	1	LTD-RMC	L V | P R	33.416	41	V  L	13_50_R_k	B	1	(2, 1)	1	0.908
27	1	1	LTD-RMC	L V | P R	34.328	42	V  L	13_50_k	B	0	(2, 0)	1	0.629
27	1	1	LTD-RMC	L V | P R	34.960	43	V  L	1_50_R_k	B	1	(2, 1)	1	0.690
27	1	1	LTD-RMC	L V | P R	35.657	44	V  L	25_50_k	B	0	(2, 0)	1	0.572
27	1	1	LTD-RMC	L V | P R	36.232	45	V  L	1_50_k	B	0	(2, 0)	1	0.532
27	1	1	LTD-RMC	L V | P R	36.768	46	V  L	13_50_R_k	B	1	(2, 1)	1	0.540
27	1	1	LTD-RMC	L V | P R	37.312	47	V  L	39_50_k	B	0	(2, 0)	1	0.605
27	1	1	LTD-RMC	L V | P R	37.920	48	V  L	39_50_R_k	B	1	(2, 1)	1	0.644
27	1	1	LTD-RMC	L V | P R	38.568	49	V  L	1_50_R_k	B	1	(2, 1)	1	0.795
27	1	1	LTD-RMC	L V | P R	39.368	50	V  L	25_50_k	B	0	(2, 0)	1	0.572
27	1	1	LTD-RMC	L V | P R	39.944	51	V  L	13_50_R_k	B	1	(2, 1)	1	0.493
27	1	1	LTD-RMC	L V | P R	40.440	52	V  L	1_50_R_k	B	1	(2, 1)	1	0.733
27	1	1	LTD-RMC	L V | P R	41.176	53	V  L	25_50_R_k	B	1	(2, 1)	1	0.750
27	1	1	LTD-RMC	L V | P R	41.930	54	V  L	1_50_R_k	B	1	(2, 1)	1	1.131
27	1	1	LTD-RMC	L V | P R	43.064	55	V  L	25_50_R_k	B	1	(2, 1)	1	0.765
27	1	1	LTD-RMC	L V | P R	43.832	56	V  L	1_50_k	B	0	(2, 0)	1	0.588
27	1	1	LTD-RMC	L V | P R	44.424	57	V  L	13_50_R_k	B	1	(2, 1)	1	0.477
27	1	1	LTD-RMC	L V | P R	44.904	58	V  L	39_50_R_k	B	1	(2, 1)	1	0.581
27	1	1	LTD-RMC	L V | P R	45.488	59	V  L	25_50_k	B	0	(2, 0)	1	0.671
27	1	1	LTD-RMC	L V | P R	46.162	60	V  L	1_50_k	B	0	(2, 0)	1	0.611
27	1	1	LTD-RMC	L V | P R	46.776	61	V  L	13_50_R_k	B	1	(2, 1)	1	0.429
27	1	1	LTD-RMC	L V | P R	47.208	62	V  L	1_50_R_k	B	1	(2, 1)	1	0.751
27	1	1	LTD-RMC	L V | P R	47.962	63	V  L	13_50_R_k	B	1	(2, 1)	1	0.523
27	1	1	LTD-RMC	L V | P R	48.488	64	V  L	25_50_R_k	B	1	(2, 1)	1	0.912
27	1	1	LTD-RMC	L V | P R	49.403	65	V  L	13_50_k	B	0	(2, 0)	1	1.162
27	1	1	LTD-RMC	L V | P R	50.568	66	V  L	39_50_R_k	B	1	(2, 1)	1	0.556
27	1	1	LTD-RMC	L V | P R	51.128	67	V  L	39_50_k	B	0	(2, 0)	1	0.633
27	1	1	LTD-RMC	L V | P R	51.768	68	V  L	25_50_R_k	B	1	(2, 1)	1	0.557
27	1	1	LTD-RMC	L V | P R	52.328	69	V  L	13_50_k	B	0	(2, 0)	1	0.645
27	1	1	LTD-RMC	L V | P R	52.976	70	V  L	25_50_k	B	0	(2, 0)	1	0.549
