P	R	B	C	T	O	t	sA	sB	a1	a2	a_t	r	RT
13	1	1	LTD-RMC	C M | K N	0.000	0	K  N	25_50_R_k	A	0	(1, 0)	0	1.402
13	1	1	LTD-RMC	C M | K N	1.402	1	W  C	25_50_R_k	A	0	(1, 0)	1	0.560
13	1	1	LTD-RMC	C M | K N	1.994	2	N  K	25_50_R_k	A	0	(1, 0)	0	0.608
13	1	1	LTD-RMC	C M | K N	2.666	3	V  C	25_50_R_k	A	0	(1, 0)	1	0.487
13	1	1	LTD-RMC	C M | K N	3.186	4	S  M	25_50_R_k	A	0	(1, 0)	1	0.575
13	1	1	LTD-RMC	C M | K N	3.794	5	C  M	25_50_R_k	A	1	(1, 1)	1	1.480
13	1	1	LTD-RMC	C M | K N	5.306	6	M  C	25_50_R_k	A	1	(1, 1)	1	0.759
13	1	1	LTD-RMC	C M | K N	6.098	7	K  N	25_50_R_k	A	1	(1, 1)	1	0.727
13	1	1	LTD-RMC	C M | K N	6.858	8	C  M	25_50_R_k	A	1	(1, 1)	1	0.727
13	1	1	LTD-RMC	C M | K N	7.618	9	C  T	25_50_R_k	A	0	(1, 0)	1	0.583
13	1	1	LTD-RMC	C M | K N	8.234	10	P  M	25_50_R_k	A	0	(1, 0)	1	0.527
13	1	1	LTD-RMC	C M | K N	8.794	11	C  P	25_50_R_k	A	0	(1, 0)	1	0.600
13	1	1	LTD-RMC	C M | K N	9.426	12	J  M	25_50_R_k	A	0	(1, 0)	1	0.704
13	1	1	LTD-RMC	C M | K N	10.162	13	X  C	25_50_R_k	A	0	(1, 0)	1	0.472
13	1	1	LTD-RMC	C M | K N	10.666	14	K  N	25_50_R_k	A	1	(1, 1)	1	0.864
13	1	1	LTD-RMC	C M | K N	11.562	15	M  C	25_50_R_k	A	1	(1, 1)	1	0.625
13	1	1	LTD-RMC	C M | K N	12.219	16	K  N	25_50_R_k	A	1	(1, 1)	1	0.751
13	1	1	LTD-RMC	C M | K N	13.002	17	J  C	25_50_R_k	A	0	(1, 0)	1	0.696
13	1	1	LTD-RMC	C M | K N	13.730	18	K  T	25_50_R_k	A	0	(1, 0)	1	0.961
13	1	1	LTD-RMC	C M | K N	14.723	19	B  C	25_50_R_k	A	0	(1, 0)	1	0.544
13	1	1	LTD-RMC	C M | K N	15.299	20	K  P	25_50_R_k	A	0	(1, 0)	1	0.463
13	1	1	LTD-RMC	C M | K N	15.794	21	C  J	25_50_R_k	A	0	(1, 0)	1	0.728
13	1	1	LTD-RMC	C M | K N	16.554	22	N  K	25_50_R_k	A	1	(1, 1)	1	1.440
13	1	1	LTD-RMC	C M | K N	18.026	23	K  N	25_50_R_k	A	1	(1, 1)	1	0.720
13	1	1	LTD-RMC	C M | K N	18.778	24	C  M	25_50_R_k	A	1	(1, 1)	1	0.592
13	1	1	LTD-RMC	C M | K N	19.402	25	M  L	25_50_R_k	A	0	(1, 0)	1	0.624
13	1	1	LTD-RMC	C M | K N	20.058	26	N  K	25_50_R_k	A	1	(1, 1)	1	0.528
13	1	1	LTD-RMC	C M | K N	20.618	27	C  M	25_50_R_k	A	1	(1, 1)	1	0.745
13	1	1	LTD-RMC	C M | K N	21.395	28	N  K	25_50_R_k	A	1	(1, 1)	1	0.599
13	1	1	LTD-RMC	C M | K N	22.026	29	G  N	25_50_R_k	A	0	(1, 0)	1	0.640
13	1	1	LTD-RMC	C M | K N	22.698	30	M  C	25_50_R_k	A	1	(1, 1)	1	0.544
13	1	1	LTD-RMC	C M | K N	23.274	31	N  K	25_50_R_k	A	1	(1, 1)	1	0.576
13	1	1	LTD-RMC	C M | K N	23.882	32	C  M	25_50_R_k	A	1	(1, 1)	1	0.520
13	1	1	LTD-RMC	C M | K N	24.434	33	J  K	25_50_R_k	A	0	(1, 0)	1	0.902
13	1	1	LTD-RMC	C M | K N	25.370	34	M  C	25_50_R_k	A	1	(1, 1)	1	0.688
13	1	1	LTD-RMC	C M | K N	26.090	35	M  J	25_50_R_k	A	0	(1, 0)	1	0.664
13	1	1	LTD-RMC	C M | K N	26.786	36	K  N	25_50_R_k	A	1	(1, 1)	1	0.632
13	1	1	LTD-RMC	C M | K N	27.450	37	R  C	25_50_R_k	B	1	(2, 1)	1	28.770
13	1	1	LTD-RMC	C M | K N	28.770	38	R  C	13_50_k	B	0	(2, 0)	1	0.674
13	1	1	LTD-RMC	C M | K N	29.475	39	R  C	39_50_k	B	0	(2, 0)	1	0.502
13	1	1	LTD-RMC	C M | K N	30.009	40	R  C	13_50_R_k	B	1	(2, 1)	1	0.529
13	1	1	LTD-RMC	C M | K N	30.570	41	R  C	39_50_R_k	B	1	(2, 1)	1	0.513
