P	R	B	C	T	O	t	sA	sB	a1	a2	a_t	r	RT
33	1	1	LTD-RMC	D K | G X	0.000	0	D  B	25_50_k	A	0	(1, 0)	1	0.911
33	1	1	LTD-RMC	D K | G X	0.911	1	D  N	25_50_k	A	0	(1, 0)	1	0.667
33	1	1	LTD-RMC	D K | G X	1.583	2	D  L	25_50_k	A	0	(1, 0)	1	0.541
33	1	1	LTD-RMC	D K | G X	2.128	3	G  X	25_50_k	A	1	(1, 1)	1	0.853
33	1	1	LTD-RMC	D K | G X	2.983	4	K  D	25_50_k	A	1	(1, 1)	1	0.786
33	1	1	LTD-RMC	D K | G X	3.776	5	X  G	25_50_k	A	1	(1, 1)	1	0.928
33	1	1	LTD-RMC	D K | G X	4.711	6	G  X	25_50_k	A	1	(1, 1)	1	0.674
33	1	1	LTD-RMC	D K | G X	5.392	7	K  D	25_50_k	A	1	(1, 1)	1	0.599
33	1	1	LTD-RMC	D K | G X	5.994	8	X  G	25_50_k	A	1	(1, 1)	1	2.778
33	1	1	LTD-RMC	D K | G X	8.775	9	K  D	25_50_k	A	1	(1, 1)	1	0.805
33	1	1	LTD-RMC	D K | G X	9.583	10	X  S	25_50_k	A	0	(1, 0)	1	0.604
33	1	1	LTD-RMC	D K | G X	10.191	11	D  C	25_50_k	A	0	(1, 0)	1	0.757
33	1	1	LTD-RMC	D K | G X	10.951	12	T  D	25_50_k	A	0	(1, 0)	1	0.621
33	1	1	LTD-RMC	D K | G X	11.575	13	K  C	25_50_k	A	0	(1, 0)	1	0.989
33	1	1	LTD-RMC	D K | G X	12.567	14	D  K	25_50_k	A	1	(1, 1)	1	0.636
33	1	1	LTD-RMC	D K | G X	13.207	15	L  K	25_50_k	A	0	(1, 0)	1	0.621
33	1	1	LTD-RMC	D K | G X	13.831	16	X  G	25_50_k	A	1	(1, 1)	1	0.510
33	1	1	LTD-RMC	D K | G X	14.345	17	G  X	25_50_k	A	1	(1, 1)	1	0.594
33	1	1	LTD-RMC	D K | G X	14.943	18	K  T	25_50_k	A	0	(1, 0)	1	1.165
33	1	1	LTD-RMC	D K | G X	16.111	19	X  G	25_50_k	A	1	(1, 1)	1	0.605
33	1	1	LTD-RMC	D K | G X	16.719	20	G  X	25_50_k	A	1	(1, 1)	1	0.665
33	1	1	LTD-RMC	D K | G X	17.391	21	V  D	25_50_k	A	0	(1, 0)	1	0.997
33	1	1	LTD-RMC	D K | G X	18.391	22	V  X	25_50_k	A	0	(1, 0)	1	0.725
33	1	1	LTD-RMC	D K | G X	19.119	23	K  D	25_50_k	A	1	(1, 1)	1	1.068
