P	R	B	C	T	O	t	sA	sB	a1	a2	a_t	r	RT
10	1	1	LTD-RMC	B T | F M	0.000	0	D  B	1_50_k	A	0	(1, 0)	1	0.650
10	1	1	LTD-RMC	B T | F M	0.650	1	J  M	1_50_k	A	0	(1, 0)	1	0.711
10	1	1	LTD-RMC	B T | F M	1.362	2	T  B	1_50_k	A	1	(1, 1)	1	0.879
10	1	1	LTD-RMC	B T | F M	2.242	3	F  M	1_50_k	A	1	(1, 1)	1	0.559
10	1	1	LTD-RMC	B T | F M	2.802	4	M  F	1_50_k	A	0	(1, 0)	0	0.631
10	1	1	LTD-RMC	B T | F M	3.434	5	B  J	1_50_k	A	0	(1, 0)	1	1.303
10	1	1	LTD-RMC	B T | F M	4.738	6	T  B	1_50_k	A	1	(1, 1)	1	0.774
10	1	1	LTD-RMC	B T | F M	5.514	7	S  B	1_50_k	B	0	(2, 0)	1	6.258
10	1	1	LTD-RMC	B T | F M	6.258	8	S  B	1_50_R_k	B	1	(2, 1)	1	1.192
10	1	1	LTD-RMC	B T | F M	7.451	9	S  B	13_50_k	B	0	(2, 0)	1	0.822
10	1	1	LTD-RMC	B T | F M	8.274	10	S  B	13_50_R_k	A	0	(1, 0)	1	3.543
10	1	1	LTD-RMC	B T | F M	9.058	11	T  Q	13_50_R_k	B	1	(2, 1)	1	1.303
10	1	1	LTD-RMC	B T | F M	9.578	12	T  Q	1_50_k	B	0	(2, 0)	1	0.983
10	1	1	LTD-RMC	B T | F M	10.562	13	T  Q	39_50_k	B	0	(2, 0)	1	0.839
10	1	1	LTD-RMC	B T | F M	11.402	14	T  Q	25_50_R_k	B	1	(2, 1)	1	0.639
10	1	1	LTD-RMC	B T | F M	12.042	15	T  Q	13_50_R_k	B	1	(2, 1)	1	0.623
10	1	1	LTD-RMC	B T | F M	12.666	16	T  Q	39_50_R_k	B	1	(2, 1)	1	0.536
10	1	1	LTD-RMC	B T | F M	13.202	17	T  Q	25_50_k	B	0	(2, 0)	1	0.784
10	1	1	LTD-RMC	B T | F M	13.986	18	T  Q	13_50_k	B	0	(2, 0)	1	0.824
10	1	1	LTD-RMC	B T | F M	14.810	19	T  Q	25_50_R_k	B	1	(2, 1)	1	0.727
10	1	1	LTD-RMC	B T | F M	15.538	20	T  Q	25_50_k	B	0	(2, 0)	1	0.671
10	1	1	LTD-RMC	B T | F M	16.210	21	T  Q	13_50_k	B	0	(2, 0)	1	0.935
10	1	1	LTD-RMC	B T | F M	17.146	22	T  Q	1_50_R_k	A	0	(1, 0)	1	8.544
10	1	1	LTD-RMC	B T | F M	17.603	23	T  H	1_50_R_k	B	1	(2, 1)	1	2.041
10	1	1	LTD-RMC	B T | F M	19.187	24	T  H	25_50_R_k	A	0	(1, 0)	1	2.006
