P	R	B	C	T	O	t	sA	sB	a1	a2	a_t	r	RT
43	1	1	LTD-RMC	C H | D M	0.000	0	H  C	13_50_R_k	A	1	(1, 1)	1	0.859
43	1	1	LTD-RMC	C H | D M	0.859	1	D  M	13_50_R_k	A	1	(1, 1)	1	0.743
43	1	1	LTD-RMC	C H | D M	1.603	2	C  H	13_50_R_k	A	1	(1, 1)	1	0.807
43	1	1	LTD-RMC	C H | D M	2.411	3	H  C	13_50_R_k	A	1	(1, 1)	1	0.943
43	1	1	LTD-RMC	C H | D M	3.355	4	C  H	13_50_R_k	A	1	(1, 1)	1	0.551
43	1	1	LTD-RMC	C H | D M	3.907	5	S  M	13_50_R_k	A	0	(1, 0)	1	0.695
43	1	1	LTD-RMC	C H | D M	4.603	6	V  C	13_50_R_k	B	1	(2, 1)	1	5.555
43	1	1	LTD-RMC	C H | D M	5.555	7	V  C	1_50_R_k	B	1	(2, 1)	1	0.551
43	1	1	LTD-RMC	C H | D M	6.107	8	V  C	13_50_k	B	1	(2, 1)	0	0.391
43	1	1	LTD-RMC	C H | D M	6.499	9	V  C	39_50_R_k	B	1	(2, 1)	1	0.663
43	1	1	LTD-RMC	C H | D M	7.163	10	V  C	25_50_R_k	B	1	(2, 1)	1	0.615
43	1	1	LTD-RMC	C H | D M	7.779	11	V  C	39_50_R_k	B	1	(2, 1)	1	0.567
43	1	1	LTD-RMC	C H | D M	8.347	12	V  C	25_50_R_k	B	1	(2, 1)	1	0.767
43	1	1	LTD-RMC	C H | D M	9.115	13	V  C	1_50_R_k	B	1	(2, 1)	1	0.615
43	1	1	LTD-RMC	C H | D M	9.731	14	V  C	25_50_k	B	0	(2, 0)	1	0.553
43	1	1	LTD-RMC	C H | D M	10.285	15	V  C	13_50_R_k	B	1	(2, 1)	1	0.997
43	1	1	LTD-RMC	C H | D M	11.283	16	V  C	39_50_R_k	B	1	(2, 1)	1	0.527
43	1	1	LTD-RMC	C H | D M	11.811	17	V  C	25_50_R_k	B	1	(2, 1)	1	0.800
43	1	1	LTD-RMC	C H | D M	12.611	18	V  C	39_50_R_k	A	0	(1, 0)	1	9.087
43	1	1	LTD-RMC	C H | D M	13.691	19	H  C	39_50_R_k	A	1	(1, 1)	1	0.623
43	1	1	LTD-RMC	C H | D M	14.315	20	D  M	39_50_R_k	A	1	(1, 1)	1	0.952
43	1	1	LTD-RMC	C H | D M	15.267	21	K  H	39_50_R_k	A	0	(1, 0)	1	0.632
43	1	1	LTD-RMC	C H | D M	15.899	22	H  C	39_50_R_k	A	1	(1, 1)	1	0.816
43	1	1	LTD-RMC	C H | D M	16.715	23	F  D	39_50_R_k	A	0	(1, 0)	1	0.834
43	1	1	LTD-RMC	C H | D M	17.549	24	M  V	39_50_R_k	B	1	(2, 1)	1	5.255
43	1	1	LTD-RMC	C H | D M	17.867	25	M  V	1_50_k	B	0	(2, 0)	1	0.824
43	1	1	LTD-RMC	C H | D M	18.691	26	M  V	39_50_k	B	0	(2, 0)	1	0.560
43	1	1	LTD-RMC	C H | D M	19.251	27	M  V	13_50_k	B	0	(2, 0)	1	0.639
43	1	1	LTD-RMC	C H | D M	19.891	28	M  V	25_50_R_k	B	1	(2, 1)	1	0.720
43	1	1	LTD-RMC	C H | D M	20.611	29	M  V	39_50_k	B	0	(2, 0)	1	0.599
43	1	1	LTD-RMC	C H | D M	21.211	30	M  V	13_50_R_k	B	1	(2, 1)	1	0.760
43	1	1	LTD-RMC	C H | D M	21.971	31	M  V	1_50_R_k	A	0	(1, 0)	1	4.989
43	1	1	LTD-RMC	C H | D M	22.539	32	M  D	1_50_R_k	A	1	(1, 1)	1	1.064
43	1	1	LTD-RMC	C H | D M	23.603	33	B  M	1_50_R_k	A	0	(1, 0)	1	0.808
43	1	1	LTD-RMC	C H | D M	24.411	34	F  M	1_50_R_k	A	0	(1, 0)	1	1.423
43	1	1	LTD-RMC	C H | D M	25.835	35	D  Q	1_50_R_k	A	0	(1, 0)	1	0.529
43	1	1	LTD-RMC	C H | D M	26.364	36	H  C	1_50_R_k	A	1	(1, 1)	1	0.767
43	1	1	LTD-RMC	C H | D M	27.131	37	C  H	1_50_R_k	A	1	(1, 1)	1	0.560
43	1	1	LTD-RMC	C H | D M	27.691	38	C  J	1_50_R_k	A	0	(1, 0)	1	0.640
43	1	1	LTD-RMC	C H | D M	28.331	39	M  D	1_50_R_k	A	1	(1, 1)	1	0.792
43	1	1	LTD-RMC	C H | D M	29.123	40	H  C	1_50_R_k	B	1	(2, 1)	1	8.064
43	1	1	LTD-RMC	C H | D M	30.036	41	H  C	1_50_k	A	1	(1, 1)	1	1.904
43	1	1	LTD-RMC	C H | D M	31.027	42	K  M	1_50_k	B	0	(2, 0)	1	1.823
43	1	1	LTD-RMC	C H | D M	31.859	43	K  M	25_50_k	A	0	(1, 0)	1	1.288
43	1	1	LTD-RMC	C H | D M	32.315	44	D  M	25_50_k	A	1	(1, 1)	1	2.263
43	1	1	LTD-RMC	C H | D M	34.578	45	H  C	25_50_k	B	0	(2, 0)	1	3.287
43	1	1	LTD-RMC	C H | D M	35.146	46	H  C	39_50_R_k	A	1	(1, 1)	1	1.209
43	1	1	LTD-RMC	C H | D M	35.788	47	R  M	39_50_R_k	B	1	(2, 1)	1	1.615
43	1	1	LTD-RMC	C H | D M	36.762	48	R  M	39_50_k	B	0	(2, 0)	1	0.575
43	1	1	LTD-RMC	C H | D M	37.338	49	R  M	25_50_R_k	B	1	(2, 1)	1	0.609
43	1	1	LTD-RMC	C H | D M	37.948	50	R  M	39_50_R_k	B	1	(2, 1)	1	0.446
43	1	1	LTD-RMC	C H | D M	38.394	51	R  M	13_50_R_k	B	1	(2, 1)	1	0.489
43	1	1	LTD-RMC	C H | D M	38.884	52	R  M	25_50_k	B	0	(2, 0)	1	0.519
43	1	1	LTD-RMC	C H | D M	39.403	53	R  M	13_50_k	A	0	(1, 0)	1	4.270
43	1	1	LTD-RMC	C H | D M	40.058	54	M  B	13_50_k	B	0	(2, 0)	1	2.758
43	1	1	LTD-RMC	C H | D M	42.162	55	M  B	25_50_k	A	0	(1, 0)	1	2.367
43	1	1	LTD-RMC	C H | D M	42.426	56	C  H	25_50_k	A	1	(1, 1)	1	1.015
43	1	1	LTD-RMC	C H | D M	43.442	57	H  V	25_50_k	A	0	(1, 0)	1	0.639
43	1	1	LTD-RMC	C H | D M	44.082	58	M  N	25_50_k	B	0	(2, 0)	1	2.495
43	1	1	LTD-RMC	C H | D M	44.658	59	M  N	39_50_k	B	0	(2, 0)	1	0.743
43	1	1	LTD-RMC	C H | D M	45.402	60	M  N	25_50_R_k	B	1	(2, 1)	1	0.688
43	1	1	LTD-RMC	C H | D M	46.091	61	M  N	1_50_R_k	B	1	(2, 1)	1	0.575
43	1	1	LTD-RMC	C H | D M	46.667	62	M  N	39_50_R_k	A	0	(1, 0)	1	3.769
43	1	1	LTD-RMC	C H | D M	47.852	63	R  M	39_50_R_k	A	0	(1, 0)	1	0.549
43	1	1	LTD-RMC	C H | D M	48.402	64	M  V	39_50_R_k	A	0	(1, 0)	1	0.663
43	1	1	LTD-RMC	C H | D M	49.066	65	N  M	39_50_R_k	A	0	(1, 0)	1	1.142
43	1	1	LTD-RMC	C H | D M	50.210	66	H  C	39_50_R_k	A	1	(1, 1)	1	0.719
43	1	1	LTD-RMC	C H | D M	50.930	67	S  C	39_50_R_k	A	0	(1, 0)	1	0.679
43	1	1	LTD-RMC	C H | D M	51.610	68	M  D	39_50_R_k	A	1	(1, 1)	1	0.719
43	1	1	LTD-RMC	C H | D M	52.330	69	C  H	39_50_R_k	B	1	(2, 1)	1	6.134
43	1	1	LTD-RMC	C H | D M	52.802	70	C  H	1_50_k	A	1	(1, 1)	1	1.239
43	1	1	LTD-RMC	C H | D M	53.570	71	D  R	1_50_k	B	0	(2, 0)	1	1.223
43	1	1	LTD-RMC	C H | D M	54.026	72	D  R	13_50_R_k	A	0	(1, 0)	1	0.903
43	1	1	LTD-RMC	C H | D M	54.474	73	D  J	13_50_R_k	A	0	(1, 0)	1	0.703
43	1	1	LTD-RMC	C H | D M	55.178	74	D  M	13_50_R_k	A	1	(1, 1)	1	1.143
43	1	1	LTD-RMC	C H | D M	56.322	75	G  C	13_50_R_k	B	1	(2, 1)	1	2.599
43	1	1	LTD-RMC	C H | D M	56.626	76	G  C	13_50_k	B	0	(2, 0)	1	0.703
43	1	1	LTD-RMC	C H | D M	57.330	77	G  C	1_50_k	A	0	(1, 0)	1	1.527
43	1	1	LTD-RMC	C H | D M	57.850	78	C  H	1_50_k	A	1	(1, 1)	1	0.855
43	1	1	LTD-RMC	C H | D M	58.706	79	M  D	1_50_k	B	0	(2, 0)	1	1.721
43	1	1	LTD-RMC	C H | D M	59.052	80	M  D	13_50_k	A	1	(1, 1)	1	0.991
43	1	1	LTD-RMC	C H | D M	59.698	81	C  H	13_50_k	A	1	(1, 1)	1	0.520
43	1	1	LTD-RMC	C H | D M	60.219	82	C  V	13_50_k	A	0	(1, 0)	1	0.631
43	1	1	LTD-RMC	C H | D M	60.850	83	D  M	13_50_k	B	0	(2, 0)	1	2.301
43	1	1	LTD-RMC	C H | D M	61.354	84	D  M	1_50_R_k	A	1	(1, 1)	1	1.095
43	1	1	LTD-RMC	C H | D M	61.946	85	H  C	1_50_R_k	B	1	(2, 1)	1	1.215
43	1	1	LTD-RMC	C H | D M	62.570	86	H  C	13_50_R_k	B	1	(2, 1)	1	0.599
43	1	1	LTD-RMC	C H | D M	63.170	87	H  C	39_50_k	A	1	(1, 1)	1	2.049
43	1	1	LTD-RMC	C H | D M	63.996	88	C  H	39_50_k	A	0	(1, 0)	0	0.461
43	1	1	LTD-RMC	C H | D M	64.458	89	D  M	39_50_k	A	1	(1, 1)	1	2.359
43	1	1	LTD-RMC	C H | D M	66.818	90	M  D	39_50_k	A	1	(1, 1)	1	0.631
43	1	1	LTD-RMC	C H | D M	67.450	91	W  H	39_50_k	A	0	(1, 0)	1	0.615
43	1	1	LTD-RMC	C H | D M	68.066	92	H  C	39_50_k	B	0	(2, 0)	1	5.471
43	1	1	LTD-RMC	C H | D M	68.642	93	H  C	25_50_R_k	B	1	(2, 1)	1	0.831
43	1	1	LTD-RMC	C H | D M	69.474	94	H  C	1_50_k	A	1	(1, 1)	1	1.848
43	1	1	LTD-RMC	C H | D M	69.915	95	D  M	1_50_k	A	1	(1, 1)	1	0.798
43	1	1	LTD-RMC	C H | D M	70.714	96	Y  M	1_50_k	A	0	(1, 0)	1	0.654
43	1	1	LTD-RMC	C H | D M	71.370	97	C  H	1_50_k	A	1	(1, 1)	1	0.639
43	1	1	LTD-RMC	C H | D M	72.010	98	M  Y	1_50_k	B	0	(2, 0)	1	3.607
43	1	1	LTD-RMC	C H | D M	73.082	99	M  Y	13_50_R_k	B	1	(2, 1)	1	0.553
43	1	1	LTD-RMC	C H | D M	73.636	100	M  Y	25_50_R_k	B	1	(2, 1)	1	0.485
43	1	1	LTD-RMC	C H | D M	74.122	101	M  Y	25_50_k	B	0	(2, 0)	1	0.647
43	1	1	LTD-RMC	C H | D M	74.770	102	M  Y	1_50_R_k	B	1	(2, 1)	1	0.968
43	1	1	LTD-RMC	C H | D M	75.739	103	M  Y	39_50_k	B	0	(2, 0)	1	0.670
43	1	1	LTD-RMC	C H | D M	76.410	104	M  Y	1_50_k	B	0	(2, 0)	1	0.559
43	1	1	LTD-RMC	C H | D M	76.970	105	M  Y	25_50_k	B	0	(2, 0)	1	0.479
43	1	1	LTD-RMC	C H | D M	77.450	106	M  Y	39_50_R_k	B	1	(2, 1)	1	0.568
43	1	1	LTD-RMC	C H | D M	78.018	107	M  Y	13_50_R_k	A	0	(1, 0)	1	6.497
43	1	1	LTD-RMC	C H | D M	78.514	108	M  S	13_50_R_k	A	0	(1, 0)	1	0.730
43	1	1	LTD-RMC	C H | D M	79.244	109	Q  C	13_50_R_k	A	0	(1, 0)	1	0.637
43	1	1	LTD-RMC	C H | D M	79.882	110	D  M	13_50_R_k	A	1	(1, 1)	1	0.792
43	1	1	LTD-RMC	C H | D M	80.674	111	C  K	13_50_R_k	B	1	(2, 1)	1	3.016
43	1	1	LTD-RMC	C H | D M	81.034	112	C  K	39_50_k	A	0	(1, 0)	1	0.919
43	1	1	LTD-RMC	C H | D M	81.594	113	D  L	39_50_k	A	0	(1, 0)	1	0.880
43	1	1	LTD-RMC	C H | D M	82.474	114	M  D	39_50_k	B	0	(2, 0)	1	1.648
43	1	1	LTD-RMC	C H | D M	82.682	115	M  D	39_50_R_k	A	1	(1, 1)	1	0.791
43	1	1	LTD-RMC	C H | D M	83.266	116	H  C	39_50_R_k	A	1	(1, 1)	1	0.752
43	1	1	LTD-RMC	C H | D M	84.018	117	Y  H	39_50_R_k	B	1	(2, 1)	1	1.761
43	1	1	LTD-RMC	C H | D M	84.444	118	Y  H	25_50_R_k	A	0	(1, 0)	1	0.976
43	1	1	LTD-RMC	C H | D M	84.994	119	M  J	25_50_R_k	A	0	(1, 0)	1	1.088
43	1	1	LTD-RMC	C H | D M	86.082	120	C  H	25_50_R_k	B	1	(2, 1)	1	2.078
43	1	1	LTD-RMC	C H | D M	86.522	121	C  H	39_50_R_k	A	1	(1, 1)	1	0.968
43	1	1	LTD-RMC	C H | D M	87.050	122	M  D	39_50_R_k	A	1	(1, 1)	1	1.248
43	1	1	LTD-RMC	C H | D M	88.298	123	Y  M	39_50_R_k	B	1	(2, 1)	1	2.152
43	1	1	LTD-RMC	C H | D M	88.674	124	Y  M	13_50_R_k	B	1	(2, 1)	1	1.224
