idx	VP	resource	condition	blockNo	trial	task	stimulus	value	key	response	stim_pres_ms	response_ms
95481	4	mix	VgRk	2	1	A	H  P	false	false	true	8	1245
95482	4	mix	VgRk	2	2	B	images/13_50_k.jpg	false	false	true	8	1677
95483	4	mix	VgRk	2	3	A	G  C	false	false	true	1245	2437
95484	4	mix	VgRk	2	4	B	images/1_50_k.jpg	false	false	true	1677	2861
95485	4	mix	VgRk	2	5	A	C  P	true	true	true	2438	3493
95486	4	mix	VgRk	2	6	B	images/13_50_R_k.jpg	true	true	true	2861	3949
95487	4	mix	VgRk	2	7	A	D  Y	false	false	true	3493	4509
95488	4	mix	VgRk	2	8	B	images/39_50_R_k.jpg	true	true	true	3950	5077
95489	4	mix	VgRk	2	9	A	M  D	true	true	true	4509	5941
95490	4	mix	VgRk	2	10	B	images/1_50_R_k.jpg	true	true	true	5077	6437
95491	4	mix	VgRk	2	11	A	D  M	true	true	true	5941	6813
95492	4	mix	VgRk	2	12	B	images/25_50_R_k.jpg	true	true	true	6437	7381
95493	4	mix	VgRk	2	13	A	C  Y	false	false	true	6813	8237
95494	4	mix	VgRk	2	14	B	images/39_50_k.jpg	false	false	true	7381	8757
95495	4	mix	VgRk	2	15	A	P  N	false	false	true	8238	11294
95496	4	mix	VgRk	2	16	B	images/1_50_R_k.jpg	true	true	true	8758	11685
95497	4	mix	VgRk	2	17	A	C  P	true	true	true	11294	12276
95498	4	mix	VgRk	2	18	B	images/25_50_R_k.jpg	true	true	true	11686	12772
95499	4	mix	VgRk	2	19	A	D  M	true	true	true	12277	13156
95500	4	mix	VgRk	2	20	B	images/1_50_k.jpg	false	false	true	12773	13860
95501	4	mix	VgRk	2	21	A	P  H	false	false	true	13157	14678
95502	4	mix	VgRk	2	22	B	images/25_50_k.jpg	false	false	true	13861	15172
95503	4	mix	VgRk	2	23	A	M  D	true	true	true	14679	16174
95504	4	mix	VgRk	2	24	B	images/39_50_k.jpg	false	false	true	15173	16628
95505	4	mix	VgRk	2	25	A	C  P	true	true	true	16175	17148
95506	4	mix	VgRk	2	26	B	images/39_50_R_k.jpg	true	true	true	16629	18060
95507	4	mix	VgRk	2	27	A	P  X	false	false	true	17149	18551
95508	4	mix	VgRk	2	28	B	images/13_50_k.jpg	false	false	true	18061	19028
95509	4	mix	VgRk	2	29	A	J  D	false	false	true	18551	19740
95510	4	mix	VgRk	2	30	B	images/25_50_R_k.jpg	true	true	true	19029	20292
95511	4	mix	VgRk	2	31	A	M  D	true	true	true	19741	21148
95512	4	mix	VgRk	2	32	B	images/39_50_R_k.jpg	true	true	true	20293	21556
95513	4	mix	VgRk	2	33	A	C  V	false	false	true	21149	22124
95514	4	mix	VgRk	2	34	B	images/39_50_k.jpg	false	false	true	21557	22684
95515	4	mix	VgRk	2	35	A	C  R	false	false	true	22125	23532
95516	4	mix	VgRk	2	36	B	images/25_50_R_k.jpg	true	true	true	22685	23933
95517	4	mix	VgRk	2	37	A	S  C	false	false	true	23533	24764
95518	4	mix	VgRk	2	38	B	images/1_50_R_k.jpg	true	true	true	23934	27101
95519	4	mix	VgRk	2	39	A	C  P	true	true	true	24765	28300
95520	4	mix	VgRk	2	40	B	images/13_50_k.jpg	false	false	true	27102	28724
95521	4	mix	VgRk	2	41	A	D  M	true	true	true	28301	29252
95522	4	mix	VgRk	2	42	B	images/1_50_k.jpg	false	false	true	28725	29676
95523	4	mix	VgRk	2	43	A	T  P	false	false	true	29253	30620
